,Brand,Packaging_Rating,ALL OVER,Price,Count,Courier_Rating,FeedBack_Rating,Product_Rating
0,3M,SSIH Mart,Autofurnish India,HNR Retail,SSIH Mart,SSIH Mart,SSIH Mart,Santosh trade link
1,A & T,IndiaMart Electronics®,Bonbury,IndiaMart Electronics®,IndiaMart Electronics®,IndiaMart Electronics®,IndiaMart Electronics®,IndiaMart Electronics®
2,A C SPORTS,FLOWERS ENTERPRISE,Sports Hub 1448,Diamond sell,Diamond sell,FLOWERS ENTERPRISE,FLOWERS ENTERPRISE,Diamond sell
3,A'la Mode Creation,Excel India Online,Excel India Online,Excel India Online,Excel India Online,Excel India Online,Excel India Online,Excel India Online
4,AADHISHA,AADHISHA,AADHISHA,AADHISHA,AADHISHA,AADHISHA,AADHISHA,AADHISHA
5,ABS AUTO TREND,SHREE JI TM,ABS-Tradelink,ABS-Tradelink,ABS-Tradelink,ABS-Tradelink,SHREE JI TM,ABS-Tradelink
6,ABYS,L. B. PRINERS,L. B. PRINERS,L. B. PRINERS,L. B. PRINERS,L. B. PRINERS,L. B. PRINERS,L. B. PRINERS
7,ADISA,ADISA International,ADISA International,ADISA International,ADISA International,ADISA International,ADISA International,ADISA International
8,AL FASCINO,Ibuy Online,Ibuy Online,Ibuy Online,Ibuy Online,Ibuy Online,Ibuy Online,Ibuy Online
9,AM LEATHER,golden dreams,Cloudtail India,AM Leather,AM Leather,golden dreams,Cloudtail India,golden dreams
10,AMAZING HEALTH SOLUTION,S bags & Luggage,S bags & Luggage,S bags & Luggage,S bags & Luggage,S bags & Luggage,S bags & Luggage,S bags & Luggage
11,AMERICAN MICRONIC,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India
12,AMG Digital,teleform,AMG Digital Store,teleform,teleform,teleform,teleform,teleform
13,AO Smith,Galaxy Shopee,Galaxy Shopee,AllaboutElectronics,CHETANYA,Galaxy Shopee,Galaxy Shopee,Cloudtail India
14,APACS,Triple Point Ventures,Triple Point Ventures,KAMDHENU SPORTS,KAMDHENU SPORTS,Triple Point Ventures,Triple Point Ventures,Triple Point Ventures
15,APPUCOCO,MAXBOOST,MAXBOOST,MAXBOOST,MAXBOOST,MAXBOOST,MAXBOOST,MAXBOOST
16,ART N HUB,S Craze Hub,Art N Hub,S Craze Hub,S Craze Hub,S Craze Hub,S Craze Hub,S Craze Hub
17,ASE YOGA INDIA,ABID SHARIQ ENTERPRISES,ABID SHARIQ ENTERPRISES,ABID SHARIQ ENTERPRISES,ABID SHARIQ ENTERPRISES,ABID SHARIQ ENTERPRISES,ABID SHARIQ ENTERPRISES,ABID SHARIQ ENTERPRISES
18,ASTEROID,Wall Attraction,SR ELECTRONIC,Wall Attraction,Wall Attraction,Wall Attraction,Wall Attraction,Wall Attraction
19,ASkyl,Stvin®ASkyl®(OFFICIAL STORE),Stvin®ASkyl®(OFFICIAL STORE),Stvin®ASkyl®(OFFICIAL STORE),Stvin®ASkyl®(OFFICIAL STORE),Stvin®ASkyl®(OFFICIAL STORE),Stvin®ASkyl®(OFFICIAL STORE),Stvin®ASkyl®(OFFICIAL STORE)
20,ATC PREMIUM,Weird®Store,Weird®Store,Weird®Store,Weird®Store,Weird®Store,Weird®Store,Weird®Store
21,AURION,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India
22,AUXTER,AUXTER,AUXTER,AUXTER,AUXTER,AUXTER,AUXTER,AUXTER
23,AVM,Durga234,Durga234,Durga234,Sigma Online,Durga234,Cloudtail India,HARI HARA ENTERPRISES
24,AVS STORE,avsstore,avsstore,avsstore,avsstore,avsstore,avsstore,avsstore
25,AVS STORE®,avsstore,avsstore,avsstore,avsstore,avsstore,avsstore,avsstore
26,Aai,y&n,That one place,y&n,y&n,y&n,y&n,y&n
27,Aamir Khan,Music Corner Chandigarh,Music Corner Chandigarh,Music Corner Chandigarh,Music Corner Chandigarh,Music Corner Chandigarh,Music Corner Chandigarh,Music Corner Chandigarh
28,Accezory,gostuffs,Cloudtail India,golden dreams,gostuffs,gostuffs,Cloudtail India,golden dreams
29,Acer,The-EStore,Appario Retail Private Ltd,The-EStore,The-EStore,The-EStore,The-EStore,The-EStore
30,Acorn,FLOWERS ENTERPRISE,ACORNSPORT,FLOWERS ENTERPRISE,FLOWERS ENTERPRISE,FLOWERS ENTERPRISE,FLOWERS ENTERPRISE,FLOWERS ENTERPRISE
31,Activa,SHOP 24/7,SHOP 24/7,SHOP 24/7,SHOP 24/7,SHOP 24/7,SHOP 24/7,SHOP 24/7
32,Advind Healthcare,Advind Healthcare,Advind Healthcare,Advind Healthcare,Advind Healthcare,Advind Healthcare,Advind Healthcare,Advind Healthcare
33,Aftab,aftab alam handloom,aftab alam handloom,aftab alam handloom,aftab alam handloom,aftab alam handloom,aftab alam handloom,aftab alam handloom
34,Ahmedabad Cotton,Cloudtail India,AhmedabadCotton,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India
35,Airmaker,AIRMAKER Foot Pump®,AIRMAKER Foot Pump®,AIRMAKER Foot Pump®,AIRMAKER Foot Pump®,AIRMAKER Foot Pump®,AIRMAKER Foot Pump®,AIRMAKER Foot Pump®
36,Ajay Devgan,Pritam Music Pvt. Ltd.,Pritam Music Pvt. Ltd.,Pritam Music Pvt. Ltd.,Pritam Music Pvt. Ltd.,Pritam Music Pvt. Ltd.,Pritam Music Pvt. Ltd.,Pritam Music Pvt. Ltd.
37,Akshay Kumar,RADIO & GRAMOPHONE HOUSE,Cashien,RADIO & GRAMOPHONE HOUSE,Music Corner Chandigarh,RADIO & GRAMOPHONE HOUSE,RADIO & GRAMOPHONE HOUSE,RADIO & GRAMOPHONE HOUSE
38,Alden Ehrenreich,Music&more,Music&more,Pritam Music Pvt. Ltd.,Music&more,Music&more,Music&more,The Paper Palette
39,Alexvyan,AlexVyan_Brothers,AlexVyan_Brothers,AlexVyan_Brothers,AlexVyan_Brothers,AlexVyan_Brothers,AlexVyan_Brothers,AlexVyan_Brothers
40,Alfisha,alfisha,alfisha,alfisha,alfisha,alfisha,alfisha,alfisha
41,Alia Bhatt,RADIO & GRAMOPHONE HOUSE,RADIO & GRAMOPHONE HOUSE,MOVIEZONE,RADIO & GRAMOPHONE HOUSE,RADIO & GRAMOPHONE HOUSE,RADIO & GRAMOPHONE HOUSE,RADIO & GRAMOPHONE HOUSE
42,Alice,HRB Musicals,HRB Musicals,M/S COOL DUDE,Amigos Station,HRB Musicals,HRB Musicals,Amigos Station
