,Product,Price,Count,FeedBack_Rating,Courier_Rating,Product_Rating,Packaging_Rating,ALL OVER
0,Usha IH2415 1500-Watt Immersion Heater (Silver),eKitchenVentures,eKitchenVentures,eKitchenVentures,eKitchenVentures,eKitchenVentures,eKitchenVentures,Mydeal365
0,Cpixen 4 Pcs Dummy CCTV Dome Camera with Blinking red LED Light. for Home or Office Security,Cpixen®,Cpixen®,Cpixen®,Cpixen®,Cpixen®,Cpixen®,Cpixen®
0,boAt Stone 200 Portable Bluetooth Speakers (Blue),best_buyaxz,best_buyaxz,best_buyaxz,best_buyaxz,best_buyaxz,best_buyaxz,Gadgetfreakz75
0,Sony SRS-XB10 EXTRA BASS Portable Splash-proof Wireless Speaker with Bluetooth and NFC (Black),Sri balaji fashion,Gatiya Retail LLP,Appario Retail Private Ltd,Appario Retail Private Ltd,Gatiya Retail LLP,Appario Retail Private Ltd,Appario Retail Private Ltd
0,"Canon EOS 3000D 18MP Digital SLR Camera (Black) with 18-55mm is II Lens, 16GB Card and Carry Case",neelam sales corporations,LIFESTYLES,neelam sales corporations,neelam sales corporations,TODAY'S DEAL,neelam sales corporations,neelam sales corporations
0,[Sponsored]Home Spa Luxury Cool Mist Dolphin Humidifier for Adults and Baby Bedroom - 2 L,Sigma Online,Sigma Online,Sigma Online,Sigma Online,Sigma Online,Sigma Online,Cloudtail India
0,Nikon D5600 Digital Camera 18-55mm VR Kit (Black),price..perfect,price..perfect,price..perfect,price..perfect,price..perfect,price..perfect,Bellstone Trading
0,Terabyte HDMI to VGA Converter Adapter Cable (Black),Aj Tech Solution,Bucketlist,Bunty Jain,Aj Tech Solution,Bucketlist,Bunty Jain,Bunty Jain
0,TP-Link TL-WN725N 150Mbps Wireless N Nano USB Adapter (Black),N.V.C.,GSR ONLINE,N.V.C.,N.V.C.,N.V.C.,N.V.C.,N.V.C.
0,D'Addario EZ890 Bronze Superlight Acoustic Guitar Strings,Jjt traders,Jjt traders,MAGIC BELLZ,MAGIC BELLZ,MAGIC BELLZ,MAGIC BELLZ,MAGIC BELLZ
0,Boat Rockerz 400 On-Ear Bluetooth Headphones (Carbon Black),mobile house baner,mobile house baner,mobile house baner,mobile house baner,mobile house baner,mobile house baner,amezonsales
0,boAt Stone 200 Portable Bluetooth Speakers (Orange),Techretailer,Techretailer,Techretailer,Techretailer,Techretailer,Techretailer,Appario Retail Private Ltd
0,"Nikon D5300 24.2MP Digital SLR Camera(Black) with AF-P 18-55 and AF-P DX NIKKOR 70-300mm f/4.5-6.3G VR Kit, Free Camera Bag and 16GB Memory Card",wisechase,wisechase,wisechase,wisechase,wisechase,wisechase,Camera First
0,"Daikin 1.5 Ton 5 Star Inverter Split AC (Copper, FTKF50TV, White)",Voltas shoppe,Voltas shoppe,Voltas shoppe,Voltas shoppe,Voltas shoppe,Voltas shoppe,Voltas shoppe
0,YI 87001 Home Camera Wireless IP Security Surveillance System (White),YI Technology Private Limited,eTrade Marketing P Ltd,YI Technology Private Limited,YI Technology Private Limited,YI Technology Private Limited,YI Technology Private Limited,YI Technology Private Limited
0,"Casio SA-47A Electronic Keyboard, Black",Rose Musicals instruments,Rose Musicals instruments,Rose Musicals instruments,Rose Musicals instruments,Rose Musicals instruments,Rose Musicals instruments,Crystalarc Lifestyle
0,"Daikin 1.5 Ton 4 Star Inverter Split AC (Copper, FTKP50TV, White)",Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India
0,TCL 80 cm (32 Inches) HD Ready LED Smart TV 32S62S (Black),TECH KLEEN,TECH KLEEN,TECH KLEEN,TECH KLEEN,TECH KLEEN,TECH KLEEN,264
0,JBL T160BT Pure Bass Wireless in-Ear Headphones with Mic (Black),Kharidiye dot com,Kharidiye dot com,Kharidiye dot com,Kharidiye dot com,Kharidiye dot com,Kharidiye dot com,Appario Retail Private Ltd
0,Commlite Auto-focus Mount Adapter EF-NEX for Canon EF/EF-S Lens to Sony NEX with IS Exact Exposure,duodain,duodain,duodain,duodain,duodain,duodain,Soham Inc
0,Generic 600Mbps USB Wifi Dongle 600Mbps Wireless Adapter 802.11N/G/B With Antenna,ZERNA,ZERNA,ZERNA,ZERNA,ZERNA,ZERNA,ONLINE SHOP 24
0,"Canon EOS 1500D 24.1MP Digital SLR Camera (Black) with 18-55 and 55-250mm is II Lens, 16GB Card and Carry Case",Digiclick store,Boss-Electronics,Digiclick store,Digiclick store,ProAudioVideo,Digiclick store,ProAudioVideo
