,Brand,Best_Seller,Best_Seller_Rating
0,2K Games,BEYOND TOYS AND GIFTS,4.069368690851468
1,3M,Autofurnish India,4.6478721041371465
2,A & T,Bonbury,3.2285743188155167
3,A C SPORTS,Sports Hub 1448,3.564106825204364
4,A'la Mode Creation,Excel India Online,2.8893658872081454
5,A-DATA,Peach Imports,4.069368690851468
6,AADHISHA,AADHISHA,3.1886914685722827
7,ABS AUTO TREND,SHREE JI TM,3.611797737395344
8,ABYS,L. B. PRINERS,3.840579011187131
9,ACTIVISION,BEYOND TOYS AND GIFTS,4.40989923026466
10,ADISA,ADISA International,3.3202328536993413
11,AL FASCINO,gostuffs,3.435635246063653
12,AM LEATHER,AM Leather,3.40189845051858
13,AMAZING HEALTH SOLUTION,S bags & Luggage,3.7629825979295783
14,AMAZON PAY,Shoora Retail,2.885470794395563
15,AMERICAN MICRONIC,Cloudtail India,3.655834299806908
16,AMG Digital,AMG Digital Store,3.5703285222735164
17,AO Smith,Galaxy Shopee,3.978975304242757
18,AOC,M.P.Enterprises,3.746353756020948
19,APACS,Triple Point Ventures,4.308351984182487
20,APPUCOCO,MAXBOOST,3.435044669581287
21,ART N HUB,Art N Hub,3.5242786154645316
22,ASE YOGA INDIA,ABID SHARIQ ENTERPRISES,3.493351040128755
23,ASTEROID,SR ELECTRONIC,4.129471963431477
24,ASkyl,Stvin®ASkyl®(OFFICIAL STORE),3.2435312985436267
25,ATC PREMIUM,Weird®Store,3.484051255929982
26,AURION,TrishaEnterprises,3.966251785566294
27,AUXTER,Ambika Gems and Diamond,4.0998723989676025
28,AVM,Durga234,4.238295956671192
29,AVS STORE,avsstore,3.2939374945031785
30,AVS STORE®,avsstore,2.967438498139304
31,Aai,RaJ,3.999056311229503
32,Aamir Khan,RADIO & GRAMOPHONE HOUSE,4.567415506845638
33,Accezory,Cloudtail India,4.130521630007868
34,Acer,TPS Technologies,4.187021648634791
35,Acorn,ACORNSPORT,3.534105343293563
36,Activa,SHOP 24/7,3.8512369189514213
37,Adcom,Adcom India,3.0721159208618483
38,Advind Healthcare,Advind Healthcare,4.281142656831848
39,Aftab,fakhir associates,2.8569016210172187
40,Ahmedabad Cotton,GSDECOR,4.0353143676062535
41,AirCase,iStuff365,4.191461727624777
42,Airmaker,AIRMAKER Foot Pump®,4.128773728200975
43,Airtel,SAB KA SOLUTION ONLINE,4.474825226140932
44,Ajay Devgan,Pritam Music Pvt. Ltd.,3.4339588414396287
45,Akshar Chem,Rotz®,3.898341044357317
46,Akshay Kumar,shopping24x7,4.305105779095482
47,Alden Ehrenreich,Music&more,3.769486240219164
48,Alexvyan,AlexVyan_Brothers,2.936128841648834
49,Alfisha,alfisha,2.7280991757864843
50,Alia Bhatt,RADIO & GRAMOPHONE HOUSE,4.018325050347077
51,Alice,A B MUSICAL STORES & ACCESSORIES,4.463589392984546
52,Alicia Souza,Futurewagon Private Limited,4.0817964090686845
53,Allin Exporters,Bazzar 4 Deals,3.3947913569677226
54,Allxpert,Brands at Discount,4.162859920358986
55,Amazon,4 U Marketing,4.041929364043033
56,Amazon Pay,QwikCilver Solutions Pvt. Ltd,3.6774928651665055
57,AmazonBasics,Cloudtail India,3.4395461072518017
58,Ambi Pur,amit car accessories aurangabad,4.098183901648602
59,Ambrane,coverReady,4.630358097259324
60,American Tourister,Gulati marketing Corporation,4.127474320630768
61,Amitabh Bachchan,World Motion,4.426436737674697
62,Amitabh Bachhan,shopping24x7,3.844303205365919
63,Amjad Ali Khan,Pritam Music Pvt. Ltd.,3.5265518590239835
64,Amkette,Game X,4.112307766389059
65,Amy Poehler,Music&more,3.455526487522569
66,Angelina Jolie,Smart Buy Movies,3.998713421664711
67,Anker,Flash Distribution,3.742193321827342
68,Ant Audio,Appario Retail Private Ltd,4.138834473054732
69,Antony Starr,Excel Innovators,3.603038411243527
70,Anycast,mayur    traders,3.4074768537256612
71,ApTechDeals,ApTechDeals®,3.2552554760218135
72,Apple,Appario Retail Private Ltd,3.6066053224635977
73,Apsara,DTL Company,4.311979144681821
74,AraNxt,Lakshita Shop!!,3.882265794011285
75,Aristocrat,GoTo Style Mart,3.869911826791802
76,Arlo Technologies,Cart2India Online,2.397141457744161
