,MultiLink,Best_Seller,Best_Seller_Rating
0,Air Conditioners,Cloud6,4.4565725257560365
1,All Computers & Accessories,zenithtraders,4.913204543225844
2,All English,The Paper Palette,3.7753448063508617
3,All Exercise & Fitness,Genuine Sports Guaranteed,4.532004815680116
4,All Gift Cards,Apex Retail,4.502879656091027
5,All Hindi,Calypso,4.367615433455497
6,"Baby Bath, Skin & Grooming",Nimbose®,4.847852160575002
7,Baby Fashion,Ratan'S,4.4953269205109745
8,Backpacks,dhrishti collection,4.34761746622454
9,Badminton,Super strength International,4.63885864380376
10,Bags & Luggage,TrajectoryStore,4.671857620136059
11,Bedroom Linen,Rite Clique,4.712189702319986
12,Best Wishes & Thank You,GCI Network Private Limited,4.260897032765143
13,Birthday Gift Cards,Shoora Retail,4.747564091550575
14,Blu-ray,MUSIC N BEYOND,3.940077061114665
15,Camping & Hiking,YAMAMA,4.338847088014141
16,Car & Bike Care,Autofurnish India,4.653524855507005
17,Car Accessories,ISEE 360,4.536195161881043
18,Car Electronics,Reliable Accessories,4.682857278913494
19,Car Parts,Rawat Shopping Store,4.486425713283947
20,Cardio Equipment,GymMart(Fit-N-Fine Fitness),4.219461443167607
21,Certified Refurbished,Rockingdeals,4.0742530818567175
22,Clothing,asg fitness,4.317361967182564
23,Components,KIDA Retail Private Ltd,4.649982706696828
24,Computer Accessories,UniqueComputers,4.885597801279967
25,Cricket,Agarwal Sports Industries,4.704856596468362
26,Cycling,Wish Cart,4.557367770957682
27,DSLR Cameras,MASTER ACCESSORIES,4.724763586337698
28,Desktops,eClinic,4.634031167325153
29,Diapers,Shrinika baby house,4.609526220397268
30,Dog supplies,Starbella,4.367222086221318
31,Drives & Storage,Peach Imports,4.54469397208522
32,Entertainment Collectibles,Bioworld,3.754493890543744
33,Fitness Accessories,Black Bottom,4.825852843020135
34,Football,Heega Sports,4.411454083385308
35,Gaming Accessories,onlinebee,4.913204543225844
36,Gaming Consoles,BestStore2018,4.181053385718797
37,"Gift Boxes, Gift Tags, Greeting Cards",QwikCilver Solutions Pvt. Ltd,3.916305893436482
38,Headphones,Meya Happy®,4.475426054506513
39,Heating & Cooling Appliances,Cloud Business India,4.386856710356058
40,Home Audio & Theater,Audiomaxx In,4.634031167325153
41,Home Entertainment Systems,S.K. Agrawal Traders,4.565527585287533
42,Home Improvement,Rapidora.,4.128360237316404
43,Indian Classical,JnY Entertainment,4.35557257722102
44,Indoor Lighting,Neminath Electricals,4.726855914023228
45,International Toy Store,TOYGENIE,4.557590429671409
46,Janitorial & Sanitation Supplies,Zollyss®,4.792853866687832
47,Kids' Watches,ESPIRE,4.107770670620893
48,Kitchen & Dining,BestBuy Mart,4.770854549132965
49,Kitchen & Home Appliances,STAR EMPIRES,4.792853866687832
50,Kitchen Storage & Containers,kitchenette World®🇮🇳,4.649858302581191
51,Lab & Scientific,Sankalp Scientific & Associates,4.417893032249403
52,Laptops,Techyons Solutions,4.2628901814811515
53,Latest Video Games,GamesPlanetImpex,4.495493462787174
54,Monitors,Digitally Yours,4.679476781094418
55,Motorbike Accessories & Parts,AruTrade,4.770854549132965
56,Musical Instruments & Professional Audio,VNV Elite Store,4.609526220397268
57,Networking Devices,Devlok Distributor,4.857991059334088
58,Nursing & Feeding,Juniors Junction,4.718056187001284
59,Office Supplies & Stationery,Ocean Communication & Systems,4.738926842680233
60,PC Games,IDEAL COMPUTER KOLKATA,4.5055123491879066
61,Popular Brand Gift Vouchers,GCI Network Private Limited,4.050208640492672
62,Printers & Ink,shreeganeshmarketing89,4.627858985026325
63,Refrigerators,Sigma Online,3.761792406940857
64,Rucksacks,Click At Luggage,4.559236007678752
65,STEM Toys Store,CocoMoco Kids,4.165991628162098
66,School Bags,Textech Solutions,4.700456732957387
67,Security Cameras,SAI ENTERPRISES JAIPUR,4.594860008694024
68,Sewing & Craft Supplies,ISOMARS,4.616859326248892
69,Smart Home,OVIO,4.225735281768703
70,Software,Unique enterprise  mittal house,4.282013815083672
71,Speakers,SElectronicsHub,4.566666013622519
72,Sports Collectibles,EMAZING DEALS,3.9584136083891406
73,Strength Training,SportsFitt,4.386066528673424
74,Strollers & Prams,Street27,4.319176963035419
75,Suitcases & Trolley Bags,Bags-R-Us,4.253273864164306
76,Tablets,iTECHNOLOGIES,4.40942810184191
77,Televisions,eClinic,4.527219626636375
78,"Test, Measure & Inspect",Parijata,4.664743865712941
79,The Designer Boutique,Spicestyle Powered by SpiceJet Ltd.,4.0137495243033054
80,Toys Gifting Store,Sunshine Gifting,4.098040380822559
81,Travel Accessories,Shop Drive,4.712189702319986
82,Travel Duffles,BoxWish,4.180479723992259
83,Video Games Deals,CPSTORE,4.5369395333586535
84,Wallets,M MEGA MART™,4.6608579613586265
85,Washing Machines,ECOM KING,4.077361517934027
86,Wedding & Anniversary,QwikCilver Solutions Pvt. Ltd,3.7663765187033618
87,Yoga,Bulfyss® - What You See Is What You Get,4.546366656279825
