,MultiLink,Seller,Product
0,Air Conditioners,264,7
1,Air Conditioners,Akash Electronicss,15
2,Air Conditioners,AllaboutElectronics,10
3,Air Conditioners,BEAT THE HEAT,24
4,Air Conditioners,BEST HOME RETAIL,50
5,Air Conditioners,Bluebird_1,15
6,Air Conditioners,Cloud6,7
7,Air Conditioners,Cloudtail India,430
8,Air Conditioners,Festivals_SLP_Mumbai,54
9,Air Conditioners,MyKart99,7
10,Air Conditioners,PEAK INTERNATIONAL,6
11,Air Conditioners,Popular Electronics Mumbai,23
12,Air Conditioners,TECH KLEEN,37
13,Air Conditioners,Voltas shoppe,180
14,All Computers & Accessories,A1Price A1Products,7
15,All Computers & Accessories,ABSHA ENTERPRISES,4
16,All Computers & Accessories,AIIPL_BLR,42
17,All Computers & Accessories,ASK IT SOLUTIONS,2
18,All Computers & Accessories,AYR Tech,10
19,All Computers & Accessories,AnmolEnterprises,7
20,All Computers & Accessories,Apex BLR,32
21,All Computers & Accessories,Appario Retail Private Ltd,348
22,All Computers & Accessories,Artis Store,12
23,All Computers & Accessories,Arx,10
24,All Computers & Accessories,Baybee Shoppee,15
25,All Computers & Accessories,BestStore2018,8
26,All Computers & Accessories,Blueberry Retail,14
27,All Computers & Accessories,Bucketlist,2
28,All Computers & Accessories,Bunty Jain,4
29,All Computers & Accessories,Buyaccessories,4
30,All Computers & Accessories,COMPUTER CONSUMABLES COMPANY,17
31,All Computers & Accessories,Cannycom Store,4
32,All Computers & Accessories,Cart2India SLP,14
33,All Computers & Accessories,Cartridge Shop,54
34,All Computers & Accessories,Cartridge online,18
35,All Computers & Accessories,Catch_D_Deal_SLP,29
36,All Computers & Accessories,CaymanSquare,17
37,All Computers & Accessories,Classic Network and Computers,2
38,All Computers & Accessories,Cloudtail India,53
39,All Computers & Accessories,Computronics Multivision Pvt. Ltd.,8
40,All Computers & Accessories,DIGI POINT,11
41,All Computers & Accessories,Daily Deals 2k19,7
42,All Computers & Accessories,DareClickSLP,6
43,All Computers & Accessories,Dhruvi M,2
44,All Computers & Accessories,E-Magic Solutions,8
45,All Computers & Accessories,ElectroBot,10
46,All Computers & Accessories,Electronics Shoppe,38
47,All Computers & Accessories,ElectronicsMarvel,4
48,All Computers & Accessories,Electroniks4u,2
49,All Computers & Accessories,Exborders,12
50,All Computers & Accessories,Extender,6
51,All Computers & Accessories,F Gear,2
52,All Computers & Accessories,FOCUS CONSUMERS,27
53,All Computers & Accessories,G. G.,12
54,All Computers & Accessories,GADGETS GALLERY,2
55,All Computers & Accessories,GMCS-Ecommerce,20
56,All Computers & Accessories,GREATINDIAZONE,4
57,All Computers & Accessories,GSR ONLINE,6
58,All Computers & Accessories,Gadgets_Guru,30
59,All Computers & Accessories,GizmoFashion,12
60,All Computers & Accessories,Harsh Enterprises.,2
61,All Computers & Accessories,ImplyWorld,4
62,All Computers & Accessories,Infinite IT Solutions & Services,3
63,All Computers & Accessories,JOTIY NAGAR,7
64,All Computers & Accessories,KM&Co,4
65,All Computers & Accessories,KRISHNA A2Z,7
66,All Computers & Accessories,Karnimaaji,2
67,All Computers & Accessories,Kharidiye dot com,33
68,All Computers & Accessories,Khushi NX,7
69,All Computers & Accessories,KiViS Retail,4
70,All Computers & Accessories,Kiron,8
71,All Computers & Accessories,M-TECHNO,8
72,All Computers & Accessories,M.P.Enterprises,18
73,All Computers & Accessories,MAK_MART,10
74,All Computers & Accessories,MANDEEP SERVICES,6
75,All Computers & Accessories,MR stationery store,2
76,All Computers & Accessories,Meera-Enterprises,109
77,All Computers & Accessories,Memory Zone,2
78,All Computers & Accessories,Mobi House_SLP,12
79,All Computers & Accessories,ModernStores2017,12
80,All Computers & Accessories,Ms Enterprises 007,8
81,All Computers & Accessories,Muchacho India,14
82,All Computers & Accessories,N.V.C.,16
83,All Computers & Accessories,NAMO 2019,15
84,All Computers & Accessories,NAYKA®,6
85,All Computers & Accessories,NEW ERA TECH,2
86,All Computers & Accessories,NEWTECH inc,7
87,All Computers & Accessories,Nst online,36
88,All Computers & Accessories,OMOTON Mall,4
89,All Computers & Accessories,Offimart™.,12
90,All Computers & Accessories,Online IT World,15
91,All Computers & Accessories,Oraima Electro Power,4
92,All Computers & Accessories,Original cartridge store,6
93,All Computers & Accessories,PARV SALES,29
94,All Computers & Accessories,PERIYASAMY TRADERS,2
95,All Computers & Accessories,Perfect Online Deals,6
96,All Computers & Accessories,ProAudioVideo,6
97,All Computers & Accessories,Proton Delhi,8
98,All Computers & Accessories,Proton mumbai,10
99,All Computers & Accessories,R.C. Store,26
100,All Computers & Accessories,RADIO & GRAMOPHONE HOUSE,12
101,All Computers & Accessories,RAJA BAZAAR,17
102,All Computers & Accessories,REAL BRILLIANCE,14
103,All Computers & Accessories,RH STORE,12
104,All Computers & Accessories,RPATEL®,9
105,All Computers & Accessories,RPM Enterprises,8
106,All Computers & Accessories,Rank1infoTech,2
107,All Computers & Accessories,RapidWorld,7
108,All Computers & Accessories,S.R.DISTRIBUTORs,4
109,All Computers & Accessories,SIACHIN ENTERPRISES,2
110,All Computers & Accessories,SYSTECH COMPUTER & COMMUNICATIONS,14
111,All Computers & Accessories,Sannesh,11
112,All Computers & Accessories,Shambhoo,13
113,All Computers & Accessories,Shop Your World Store,10
114,All Computers & Accessories,Smart Store.,23
115,All Computers & Accessories,SmartGlobal,12
116,All Computers & Accessories,Special Deals,18
117,All Computers & Accessories,SpeedEbazaar,2
118,All Computers & Accessories,Sri datta enterprises,12
119,All Computers & Accessories,Subho Computers,6
120,All Computers & Accessories,SuperShopperIndia,2
121,All Computers & Accessories,TODAY'S DEAL,11
122,All Computers & Accessories,Techno Computer,4
123,All Computers & Accessories,Techno Guru,2
124,All Computers & Accessories,Technogazet,21
125,All Computers & Accessories,The MobStore,2
126,All Computers & Accessories,The Style Referee,12
127,All Computers & Accessories,The-EStore,10
128,All Computers & Accessories,TigeRetaiL_SLP,6
129,All Computers & Accessories,UPVsales,2
130,All Computers & Accessories,VSK Seller,10
131,All Computers & Accessories,Vijaya computers,4
132,All Computers & Accessories,YesBuy,2
133,All Computers & Accessories,ZARPAT INDIA,19
134,All Computers & Accessories,best_buyaxz,6
135,All Computers & Accessories,eClinic,18
136,All Computers & Accessories,hk shop,57
137,All Computers & Accessories,iBhejo,16
138,All Computers & Accessories,it store,43
139,All Computers & Accessories,laptop house,8
140,All Computers & Accessories,mayur    traders,2
141,All Computers & Accessories,micropower,28
142,All Computers & Accessories,modernretailonline,4
143,All Computers & Accessories,myshoppee,2
144,All Computers & Accessories,price..perfect,15
145,All Computers & Accessories,sachdeva enterprises t,9
146,All Computers & Accessories,saco,4
147,All Computers & Accessories,saini collections,2
148,All Computers & Accessories,shoppingzone,9
149,All Computers & Accessories,tolbhav,12
150,All Computers & Accessories,zenithtraders,2
151,All English,Calypso,6
152,All English,Excel Innovators,14
153,All English,Music&more,59
154,All English,Pritam Music Pvt. Ltd.,37
155,All English,The Paper Palette,18
156,All Exercise & Fitness,(SPORTO FITNESS™)*,6
157,All Exercise & Fitness,A D Overseas,7
158,All Exercise & Fitness,AND Retails,7
159,All Exercise & Fitness,AUXTER,5
160,All Exercise & Fitness,Aditya Sports,7
161,All Exercise & Fitness,Ambika Gems and Diamond,5
162,All Exercise & Fitness,Apptronics Retail,7
163,All Exercise & Fitness,BE01,7
164,All Exercise & Fitness,Champs Sports Goa,13
165,All Exercise & Fitness,Cloudtail India,73
166,All Exercise & Fitness,Cpixen®,4
167,All Exercise & Fitness,DHANSHRE FITNESS,5
168,All Exercise & Fitness,EasyHealth,7
169,All Exercise & Fitness,FitXM,7
170,All Exercise & Fitness,Fitness Hubb,6
171,All Exercise & Fitness,GTBPRODUCTS,7
172,All Exercise & Fitness,Genuine Sports Guaranteed,7
173,All Exercise & Fitness,Inditradition ®,6
174,All Exercise & Fitness,Janjua Sports,7
175,All Exercise & Fitness,KAMDHENU SPORTS,6
176,All Exercise & Fitness,Khel Kood,21
177,All Exercise & Fitness,NPI Fitness,7
178,All Exercise & Fitness,Oggin Tech,7
179,All Exercise & Fitness,PIONEER SPORTS,14
180,All Exercise & Fitness,Quims,5
181,All Exercise & Fitness,R S TRADERS DELHI,7
182,All Exercise & Fitness,S bags & Luggage,7
183,All Exercise & Fitness,SHOPPER STORE,7
184,All Exercise & Fitness,SHREE TRADINGS,13
185,All Exercise & Fitness,Sale Bucks,3
186,All Exercise & Fitness,SapphireBlue,7
187,All Exercise & Fitness,Shiv shakti Traders,7
188,All Exercise & Fitness,Sigma Online,7
189,All Exercise & Fitness,Sports Hub 1448,7
190,All Exercise & Fitness,Tapasya Sports And Fitness,5
191,All Exercise & Fitness,Vectora_Co.,5
192,All Exercise & Fitness,asg fitness,7
193,All Exercise & Fitness,quick Store,7
194,All Exercise & Fitness,sportzcomplex,10
195,All Gift Cards,Apex Retail,10
196,All Gift Cards,Cloudtail India,12
197,All Gift Cards,JAY DURGA MOTORS,8
198,All Gift Cards,PartsBigBoss,16
199,All Gift Cards,QwikCilver Solutions Pvt. Ltd,2
200,All Gift Cards,Shoora Retail,8
201,All Gift Cards,Shri Diesel Engineers,6
202,All Gift Cards,Sigma Online,18
203,All Gift Cards,WEAVERS,18
204,All Hindi,Apeiron Merchandise,7
205,All Hindi,Aum Entertainment,44
206,All Hindi,Calypso,7
207,All Hindi,Cashien,7
208,All Hindi,DG enterprises,16
209,All Hindi,DTD INTERNATINAL,20
210,All Hindi,Entertainment Junction,7
211,All Hindi,Excel Innovators,5
