,Brand,Best_Seller_ALL_OVER,Best_Seller_ALL_OVER_Rating,Best_Seller_FeedBack_Rating,Best_Seller_FeedBack_Rating_Rating,Best_Seller_Product_Rating,Best_Seller_Product_Rating_Rating,Best_Seller_Packaging_Rating,Best_Seller_Packaging_Rating_Rating,Best_Seller_Courier_Rating,Best_Seller_Courier_Rating_Rating
0,2K Games,BEYOND TOYS AND GIFTS,4.069368690851468,BEYOND TOYS AND GIFTS,3.333333333333333,BEYOND TOYS AND GIFTS,4.1,BEYOND TOYS AND GIFTS,4.7,BEYOND TOYS AND GIFTS,4.7
1,3M,Autofurnish India,4.6478721041371465,Autofurnish India,5.0,Thanukkodi Adithya,4.066666666666666,AE INDIA,4.7200000000000015,Autofurnish India,5.0
2,A & T,Bonbury,3.2285743188155167,Bonbury,3.6,Creativemarketing,3.308333333333333,Bonbury,3.892307692307692,Bonbury,4.084615384615383
3,A C SPORTS,Sports Hub 1448,3.564106825204364,FLOWERS ENTERPRISE,3.666666666666667,Sports Hub 1448,4.12,Sports Hub 1448,3.7266666666666666,FLOWERS ENTERPRISE,4.423809523809523
4,A'la Mode Creation,Excel India Online,2.8893658872081454,Excel India Online,2.833333333333333,BabyBasics,4.3,Excel India Online,3.186666666666667,BabyBasics,4.3
5,A-DATA,Peach Imports,4.069368690851468,Kharidiye dot com,3.4,Kharidiye dot com,4.1,Peach Imports,4.7,Peach Imports,4.7
6,AADHISHA,AADHISHA,3.1886914685722827,AADHISHA,2.666666666666667,AADHISHA,4.1000000000000005,AADHISHA,3.3833333333333333,AADHISHA,4.357142857142857
7,ABS AUTO TREND,SHREE JI TM,3.611797737395344,SHREE JI TM,4.0,ABS-Tradelink,3.92,SHREE JI TM,3.95,ABS-Tradelink,4.153333333333333
8,ABYS,L. B. PRINERS,3.840579011187131,L. B. PRINERS,4.4,L. B. PRINERS,3.6,L. B. PRINERS,4.0,L. B. PRINERS,4.4
9,ACTIVISION,BEYOND TOYS AND GIFTS,4.40989923026466,TOTAL MOBILE AND GAMING,4.0,BEYOND TOYS AND GIFTS,4.222222222222223,BEYOND TOYS AND GIFTS,4.844444444444445,BEYOND TOYS AND GIFTS,4.844444444444445
