,MultiLink,Best_Seller_ALL_OVER,Best_Seller_ALL_OVER_Rating,Best_Seller_FeedBack_Rating,Best_Seller_FeedBack_Rating_Rating,Best_Seller_Product_Rating,Best_Seller_Product_Rating_Rating,Best_Seller_Packaging_Rating,Best_Seller_Packaging_Rating_Rating,Best_Seller_Courier_Rating,Best_Seller_Courier_Rating_Rating
0,Air Conditioners,Cloud6,4.4565725257560365,Cloud6,4.833333333333334,Popular Electronics Mumbai,4.473214285714286,Popular Electronics Mumbai,4.625892857142857,Cloud6,4.833333333333334
1,All Computers & Accessories,zenithtraders,4.913204543225844,zenithtraders,5.0,F Gear,4.5,zenithtraders,5.0,zenithtraders,5.0
2,All English,The Paper Palette,3.7753448063508617,Pritam Music Pvt. Ltd.,3.6756756756756763,The Paper Palette,4.0618181818181816,The Paper Palette,3.74,The Paper Palette,4.52070707070707
3,All Exercise & Fitness,Genuine Sports Guaranteed,4.532004815680116,Genuine Sports Guaranteed,5.0,R S TRADERS DELHI,4.24,Genuine Sports Guaranteed,4.378571428571428,Genuine Sports Guaranteed,5.0
4,All Gift Cards,Apex Retail,4.502879656091027,Apex Retail,4.0,Apex Retail,4.3,Apex Retail,4.86,Apex Retail,4.86
5,All Hindi,Calypso,4.367615433455497,Entertainment Junction,4.166666666666667,Calypso,4.428571428571429,Calypso,4.285714285714286,Calypso,4.8
6,"Baby Bath, Skin & Grooming",Nimbose®,4.847852160575002,Baby Cry,5.0,Nimbose®,4.475,Nimbose®,4.737500000000002,Nimbose®,5.0
7,Baby Fashion,Ratan'S,4.4953269205109745,Rock world,4.833333333333334,Cross Border Trends,4.4,Ratan'S,4.398809523809524,Ratan'S,4.864285714285714
8,Backpacks,dhrishti collection,4.34761746622454,dhrishti collection,4.666666666666667,F Gear,4.18,dhrishti collection,4.316666666666666,Innovegic Mart,4.82
9,Badminton,Super strength International,4.63885864380376,Super strength International,5.0,Power fit,4.533333333333333,Power fit,4.6,AC Collections,5.0
10,Bags & Luggage,TrajectoryStore,4.671857620136059,TrajectoryStore,5.0,Chris and Kate,4.199999999999998,TrajectoryStore,4.5375,TrajectoryStore,5.0
11,Bedroom Linen,Rite Clique,4.712189702319986,Rite Clique,5.0,RR Creations,4.250000000000001,Rite Clique,4.583333333333334,Rite Clique,5.0
12,Best Wishes & Thank You,GCI Network Private Limited,4.260897032765143,GCI Network Private Limited,3.6,PointHai Com,4.5,GCI Network Private Limited,4.6400000000000015,GCI Network Private Limited,4.6400000000000015
13,Birthday Gift Cards,Shoora Retail,4.747564091550575,Shoora Retail,5.0,PointHai Com,4.5,Shoora Retail,5.0,Shoora Retail,5.0
14,Blu-ray,MUSIC N BEYOND,3.940077061114665,MUSIC N BEYOND,4.223529411764706,The Paper Palette,4.214285714285714,MUSIC N BEYOND,3.927058823529412,The Paper Palette,4.542857142857144
15,Camping & Hiking,YAMAMA,4.338847088014141,AONECREATIONS,4.75,best rate store,4.214285714285714,YAMAMA,4.3,AONECREATIONS,4.75
16,Car & Bike Care,Autofurnish India,4.653524855507005,Autofurnish India,5.0,ogre,4.2,Autofurnish India,4.516666666666667,Autofurnish India,5.0
17,Car Accessories,ISEE 360,4.536195161881043,ISEE 360,5.0,Srisha Traders,4.2,ISEE 360,4.383333333333333,ISEE 360,5.0
18,Car Electronics,Reliable Accessories,4.682857278913494,Reliable Accessories,5.0,M 7 e TRADERS,4.466666666666667,Reliable Accessories,4.55,Reliable Accessories,5.0
19,Car Parts,Rawat Shopping Store,4.486425713283947,Romaansa,5.0,Brothers and Company,4.233333333333333,Rawat Shopping Store,4.4375,Romaansa,5.0
20,Cardio Equipment,GymMart(Fit-N-Fine Fitness),4.219461443167607,GymMart(Fit-N-Fine Fitness),4.440476190476192,AmazingShop,4.083333333333334,GymMart(Fit-N-Fine Fitness),4.19047619047619,VanshEnterprises,4.654761904761903
21,Certified Refurbished,Rockingdeals,4.0742530818567175,Rockingdeals,4.269230769230768,India INC.,3.982059620596206,Rockingdeals,4.024871794871795,Rockingdeals,4.630769230769231
22,Clothing,asg fitness,4.317361967182564,Cloudtail India,3.8045977011494254,FINE KART,4.43125,asg fitness,4.628125,FabSeasons,4.788095238095238
23,Components,KIDA Retail Private Ltd,4.649982706696828,Aim Square,5.0,MEGADEALS 27,4.7,KIDA Retail Private Ltd,4.914285714285714,Aim Square,5.0
24,Computer Accessories,UniqueComputers,4.885597801279967,(Gadgets2use),5.0,Reckon computers,4.6,(Gadgets2use),5.0,(Gadgets2use),5.0
25,Cricket,Agarwal Sports Industries,4.704856596468362,Kosmic Square,5.0,anne -kee™ (homecraft2010),4.283333333333334,Agarwal Sports Industries,4.575,The Reasonable Price Products Store,5.0
26,Cycling,Wish Cart,4.557367770957682,AVS RETAIL,4.833333333333334,MKIP,4.2,Wish Cart,4.475,SS Cycle,4.8625
27,DSLR Cameras,MASTER ACCESSORIES,4.724763586337698,neelam sales corporations,5.0,Zibbri India Pvt Ltd,5.0,DigitalIndia,5.0,DigitalIndia,5.0
28,Desktops,eClinic,4.634031167325153,Kiron,4.346153846153847,eClinic,4.8,eClinic,4.95,eClinic,4.95
29,Diapers,Shrinika baby house,4.609526220397268,Shrinika baby house,5.0,A and K Enterprise,4.333333333333333,A and K Enterprise,4.5,Shrinika baby house,5.0
30,Dog supplies,Starbella,4.367222086221318,Starbella,4.6000000000000005,Adolf Me®,4.4,Starbella,4.325,BAWATRADERS,4.833333333333333
31,Drives & Storage,Peach Imports,4.54469397208522,myshoppee,4.25,OM RETAIL.,4.5,Peach Imports,4.88,Peach Imports,4.88
32,Entertainment Collectibles,Bioworld,3.754493890543744,Redwolf T-shirts,3.6,Redwolf T-shirts,3.92,Bioworld,3.843971193415639,Bioworld,4.474485596707819
33,Fitness Accessories,Black Bottom,4.825852843020135,FINE KART,5.0,Black Bottom,4.425,Black Bottom,4.7125,FINE KART,5.0
34,Football,Heega Sports,4.411454083385308,Heega Sports,4.5,Home arena,4.3,Heega Sports,4.35,Krishna Creators,4.84
35,Gaming Accessories,onlinebee,4.913204543225844,Aaj Jio,5.0,Shop Your World Store,5.0,Aaj Jio,5.0,Aaj Jio,5.0
36,Gaming Consoles,BestStore2018,4.181053385718797,SUNNY LIGHTS,4.199999999999998,digital Playground,4.5,chamunda enterprises,4.65,chamunda enterprises,4.65
37,"Gift Boxes, Gift Tags, Greeting Cards",QwikCilver Solutions Pvt. Ltd,3.916305893436482,GCI Network Private Limited,3.8,PointHai Com,4.5,PointHai Com,4.5,PointHai Com,4.5
38,Headphones,Meya Happy®,4.475426054506513,Meya Happy®,4.75,MM Sales Corporation,4.316666666666666,modernretailonline,4.6,Meya Happy®,4.75
39,Heating & Cooling Appliances,Cloud Business India,4.386856710356058,ENERSENSE,5.0,AIR EXPERT INDIA,5.0,Advind Healthcare,5.0,AIR EXPERT INDIA,5.0
40,Home Audio & Theater,Audiomaxx In,4.634031167325153,# Global Hub,4.21875,The Style Referee,4.8,Audiomaxx In,4.95,Audiomaxx In,4.95
41,Home Entertainment Systems,S.K. Agrawal Traders,4.565527585287533,S.K. Agrawal Traders,5.0,Bk Enterprise,4.6,UniqueComputers,4.766666666666667,S.K. Agrawal Traders,5.0
42,Home Improvement,Rapidora.,4.128360237316404,Rapidora.,4.428571428571429,SEE INSIDE,4.44,New Age Enterprises,4.5600000000000005,Rapidora.,4.842857142857143
43,Indian Classical,JnY Entertainment,4.35557257722102,JnY Entertainment,4.5,New Super Star Selections,4.213846153846154,JnY Entertainment,4.325,JnY Entertainment,4.671428571428573
44,Indoor Lighting,Neminath Electricals,4.726855914023228,Inditradition ®,5.0,B.P. Trading Company,4.3,Neminath Electricals,4.6,Soniya  Infotech,5.0
45,International Toy Store,TOYGENIE,4.557590429671409,TOYGENIE,4.8,kiddocart,4.4,TOYGENIE,4.46,TOYGENIE,4.883333333333334
46,Janitorial & Sanitation Supplies,Zollyss®,4.792853866687832,Zollyss®,5.0,DHWANI ENTERPRISE,5.0,DHWANI ENTERPRISE,5.0,Zollyss®,5.0
47,Kids' Watches,ESPIRE,4.107770670620893,VISHWAKARMAENTERPRISES,4.2,Familykart,4.199999999999998,ESPIRE,4.091666666666667,Wayona,4.74
48,Kitchen & Dining,BestBuy Mart,4.770854549132965,TANU ENTERPRISES.,5.0,BestBuy Mart,4.3,BestBuy Mart,4.65,BestBuy Mart,5.0
49,Kitchen & Home Appliances,STAR EMPIRES,4.792853866687832,KK eStore,5.0,ABR Trading Co,4.4,KK eStore,5.0,KK eStore,5.0
50,Kitchen Storage & Containers,kitchenette World®🇮🇳,4.649858302581191,Sapno Ki Apni Dukaan,5.0,SHIVAM ENTERPRISES & SALE POINT,4.300000000000002,kitchenette World®🇮🇳,4.512499999999998,Ukrit,5.0
51,Lab & Scientific,Sankalp Scientific & Associates,4.417893032249403,AruTrade,5.0,Sankalp Scientific & Associates,5.0,Sankalp Scientific & Associates,5.0,AruTrade,5.0
52,Laptops,Techyons Solutions,4.2628901814811515,Techyons Solutions,4.285714285714286,L N Tech Computers,4.4,Gadgets_Guru,4.66,Techyons Solutions,4.671428571428572
53,Latest Video Games,GamesPlanetImpex,4.495493462787174,CPSTORE,4.166666666666667,GamesPlanetImpex,4.546153846153846,GamesPlanetImpex,4.7846153846153845,GamesPlanetImpex,4.7846153846153845
54,Monitors,Digitally Yours,4.679476781094418,The Computer Mart,4.333333333333333,A TO Z IT,4.8,Digitally Yours,4.914285714285716,Digitally Yours,4.914285714285716
55,Motorbike Accessories & Parts,AruTrade,4.770854549132965,AruTrade,5.0,AruTrade,4.3,AruTrade,4.65,WS MART,5.0
56,Musical Instruments & Professional Audio,VNV Elite Store,4.609526220397268,Sharp Choice,5.0,Cart2India Online,4.4,Ambience eCom,4.666666666666667,Sharp Choice,5.0
57,Networking Devices,Devlok Distributor,4.857991059334088,Devlok Distributor,5.0,Cable World IT®,5.0,N.V.C.,5.0,Devlok Distributor,5.0
58,Nursing & Feeding,Juniors Junction,4.718056187001284,Juniors Junction,5.0,GURUJI INTERPRISES,4.433333333333334,Juniors Junction,4.589999999999999,Juniors Junction,5.0
59,Office Supplies & Stationery,Ocean Communication & Systems,4.738926842680233,ONLINE ALL IN ONE SHOPPE,5.0,DCGPAC,5.0,Crafts zone 3,5.0,EASYone,5.0
60,PC Games,IDEAL COMPUTER KOLKATA,4.5055123491879066,Your Shop.,4.166666666666667,Reckon computers,4.6,TOTAL MOBILE AND GAMING,4.8,TOTAL MOBILE AND GAMING,4.8
61,Popular Brand Gift Vouchers,GCI Network Private Limited,4.050208640492672,GCI Network Private Limited,3.6,Stellr India,4.4,GCI Network Private Limited,4.459999999999999,GCI Network Private Limited,4.459999999999999
62,Printers & Ink,shreeganeshmarketing89,4.627858985026325,shreeganeshmarketing89,5.0,YELLOWWIT,4.5,Galaxy Digital 11,4.72,shreeganeshmarketing89,5.0
63,Refrigerators,Sigma Online,3.761792406940857,APPLIANCE STORE,3.333333333333333,BEST HOME RETAIL,4.044444444444443,BEST HOME RETAIL,4.31111111111111,Sigma Online,4.461764705882351
64,Rucksacks,Click At Luggage,4.559236007678752,Click At Luggage,4.833333333333334,DealsMonk,4.25,Click At Luggage,4.483333333333333,Click At Luggage,4.833333333333334
65,STEM Toys Store,CocoMoco Kids,4.165991628162098,CocoMoco Kids,4.333333333333333,Starmark,4.260000000000002,CocoMoco Kids,4.1033333333333335,STARMARKC,4.771428571428571
66,School Bags,Textech Solutions,4.700456732957387,Textech Solutions,5.0,Sk Noor Enterprises,4.333333333333333,Textech Solutions,4.57,Textech Solutions,5.0
67,Security Cameras,SAI ENTERPRISES JAIPUR,4.594860008694024,SAI ENTERPRISES JAIPUR,5.0,ESnipe Mart,4.4,ESnipe Mart,4.7,SAI ENTERPRISES JAIPUR,5.0
68,Sewing & Craft Supplies,ISOMARS,4.616859326248892,ISOMARS,5.0,LIFE AND ART ACADEMY,4.2200000000000015,ISOMARS,4.475,ISOMARS,5.0
69,Smart Home,OVIO,4.225735281768703,Classic Network and Computers,4.5,beconnected,4.5,OVIO,4.725,Ecom-Retails,4.733333333333333
70,Software,Unique enterprise  mittal house,4.282013815083672,SHOPWITHCONFIDENCE,4.205128205128204,Genius International,4.4,MBI Store,4.7,Unique enterprise  mittal house,4.8500000000000005
71,Speakers,SElectronicsHub,4.566666013622519,Shop more,4.75,4COM Technologies,4.6,SElectronicsHub,4.883333333333334,SElectronicsHub,4.883333333333334
72,Sports Collectibles,EMAZING DEALS,3.9584136083891406,EMAZING DEALS,4.0,EMAZING DEALS,3.9666666666666655,EMAZING DEALS,3.983333333333333,EMAZING DEALS,4.428571428571429
73,Strength Training,SportsFitt,4.386066528673424,SportsFitt,4.428571428571429,TrishaEnterprises,4.46,SportsFitt,4.285714285714286,SportsFitt,4.842857142857143
74,Strollers & Prams,Street27,4.319176963035419,Street27,4.4,HUB MART,4.516666666666667,Street27,4.329999999999999,HUB MART,4.716666666666667
75,Suitcases & Trolley Bags,Bags-R-Us,4.253273864164306,Bags-R-Us,4.6000000000000005,Deemanth Bags,4.3,Bags-R-Us,4.21,Gulati marketing Corporation,4.79375
76,Tablets,iTECHNOLOGIES,4.40942810184191,iTECHNOLOGIES,4.75,Tokari Wala,4.1000000000000005,KIDA Retail Private Ltd,4.5315789473684225,iTECHNOLOGIES,4.75
77,Televisions,eClinic,4.527219626636375,Great Indian Sale,4.25,Independence  offers_SLP,4.2471999999999985,eClinic,4.866666666666666,eClinic,4.866666666666666
78,"Test, Measure & Inspect",Parijata,4.664743865712941,ACROMEC™,5.0,ToolsMart,4.8,ACROMEC™,5.0,ACROMEC™,5.0
79,The Designer Boutique,Spicestyle Powered by SpiceJet Ltd.,4.0137495243033054,Spicestyle Powered by SpiceJet Ltd.,3.866666666666666,Spicestyle Powered by SpiceJet Ltd.,4.102666666666666,Spicestyle Powered by SpiceJet Ltd.,3.9846666666666666,Spicestyle Powered by SpiceJet Ltd.,4.572666666666667
80,Toys Gifting Store,Sunshine Gifting,4.098040380822559,Omnisleep Solutions,4.166666666666667,deals bazzar (  ZZ ZONEX® ),4.433333333333334,Sunshine Gifting,4.0402564102564105,1699 sikh store,4.6866666666666665
81,Travel Accessories,Shop Drive,4.712189702319986,Supreme Mall,5.0,Mahesh General & Fancy Store.,4.449999999999998,Shop Drive,4.583333333333334,Supreme Mall,5.0
82,Travel Duffles,BoxWish,4.180479723992259,Livzing,4.6000000000000005,Novex,4.18,BoxWish,4.175,Chris and Kate,4.814285714285715
83,Video Games Deals,CPSTORE,4.5369395333586535,CPSTORE,4.375,ECON SALES,4.8,ECON SALES,4.914285714285716,ECON SALES,4.914285714285716
84,Wallets,M MEGA MART™,4.6608579613586265,Dein Kleider,5.0,RATRADERS,4.221212121212122,M MEGA MART™,4.525,M MEGA MART™,5.0
85,Washing Machines,ECOM KING,4.077361517934027,Amazing Shopee,3.6666666666666665,ECOM KING,4.3,Independence  offers_SLP,4.581818181818182,Independence  offers_SLP,4.581818181818182
86,Wedding & Anniversary,QwikCilver Solutions Pvt. Ltd,3.7663765187033618,QwikCilver Solutions Pvt. Ltd,2.7222222222222223,QwikCilver Solutions Pvt. Ltd,4.205555555555557,Woohoo,4.39,Woohoo,4.39
87,Yoga,Bulfyss® - What You See Is What You Get,4.546366656279825,Meili,4.8,Jungleaid,4.283333333333333,Jungleaid,4.475,Bulfyss® - What You See Is What You Get,4.9
