,Product,Best_Seller_ALL_OVER,Best_Seller_ALL_OVER_Rating,Best_Seller_FeedBack_Rating,Best_Seller_FeedBack_Rating_Rating,Best_Seller_Product_Rating,Best_Seller_Product_Rating_Rating,Best_Seller_Packaging_Rating,Best_Seller_Packaging_Rating_Rating,Best_Seller_Courier_Rating,Best_Seller_Courier_Rating_Rating
0,""" ROCKY "" 60 Lt Grey Rucksack I Hiking backpack",Buy  More,3.8263291671297455,Buy  More,4.0,Buy  More,3.96,Buy  More,3.98,POLESTAR-BAGS,4.473809523809524
1,""" ROCKY "" 60 Lt Royal Rucksack I Hiking backpack",POLESTAR-BAGS,2.257726265914564,POLESTAR-BAGS,1.5714285714285714,POLESTAR-BAGS,3.6285714285714286,POLESTAR-BAGS,2.6,POLESTAR-BAGS,4.114285714285715
2,"""HERO"" 32 Lt Pink Brown Casual Backpack I bagpack",POLESTAR-BAGS,4.39782760419792,POLESTAR-BAGS,4.830769230769231,POLESTAR-BAGS,3.876923076923077,POLESTAR-BAGS,4.3538461538461535,POLESTAR-BAGS,4.830769230769231
3,"""HERO"" 32 Lt Sky & Navy Casual Backpack I bagpack",POLESTAR-BAGS,3.176964426961517,POLESTAR-BAGS,3.333333333333333,POLESTAR-BAGS,3.733333333333333,POLESTAR-BAGS,3.5333333333333337,POLESTAR-BAGS,4.004761904761905
4,"""TREK 44 Lt Blue grey Rucksack I Hiking backpack",POLESTAR-BAGS,3.95535446067684,POLESTAR-BAGS,3.8571428571428568,POLESTAR-BAGS,4.128571428571428,POLESTAR-BAGS,3.9928571428571433,POLESTAR-BAGS,4.671428571428573
5,"'s Men's Leather Black Wallet (PN- WL1 BLK2,Black)",FSNSTORE,4.235411116016099,FSNSTORE,4.75,YASH      ENTERPRISES,3.933333333333333,FSNSTORE,4.2125,FSNSTORE,4.8
6,(CERTIFIED REFURBISHED) Bajaj Bravo Dlx 500-Watt Mixer Grinder (White/BLUE),India Sales Corp,3.0945797545630658,India Sales Corp,2.8000000000000003,India Sales Corp,3.98,India Sales Corp,3.39,India Sales Corp,4.1466666666666665
7,"(CERTIFIED REFURBISHED) Hawkins Inducion Based Futura Hard Anodised Cooker, 5 Litres, Black",Cloudtail.,3.434806023210672,Cloudtail.,2.9090909090909087,Cloudtail.,4.236363636363636,Cloudtail.,3.5727272727272723,Cloudtail.,4.478030303030304
8,(CERTIFIED REFURBISHED) KENT Personal Rice Cooker 0.9-Litres 180-Watt (Black and Silver),CloudNine India,3.3719316266142387,CloudNine India,3.2,CloudNine India,3.8,CloudNine India,3.5,CloudNine India,4.516666666666667
9,(CERTIFIED REFURBISHED) Maharaja Whiteline Gala JX-117 450-Watt Juicer Mixer Grinder with 2 Jars (White/Majestic Maroon),India Sales Corp,3.102955080940588,India Sales Corp,3.0,India Sales Corp,3.7428571428571433,India Sales Corp,3.3714285714285714,India Sales Corp,4.214285714285714
10,"(CERTIFIED REFURBISHED) Milton Thermosteel Plain Lid Flask, 500ml, Sleelplain",Cloudtail.,3.1498959948395036,Cloudtail.,3.333333333333333,Cloudtail.,3.4400000000000004,Cloudtail.,3.3866666666666667,Cloudtail.,4.291428571428571
11,(CERTIFIED REFURBISHED) Orient Electric Aero Series 1200mm Ceiling Fan (White),India Sales Corp,3.9160336106554414,India Sales Corp,4.5,India Sales Corp,3.5333333333333337,India Sales Corp,4.016666666666667,India Sales Corp,4.542857142857144
12,(CERTIFIED REFURBISHED) Orient Electric Bladeless Fan with Remote (40 Watts),Cloudtail.,3.78936818120735,Cloudtail.,3.4,Cloudtail.,4.3199999999999985,Cloudtail.,3.86,Cloudtail.,4.6033333333333335
13,(CERTIFIED REFURBISHED) Panasonic SR-W18GH 270-Watt Automatic Cooker Warmer Combo Gift Pack (Gold),Olympia Electronics SLP,3.3222865788561773,Olympia Electronics SLP,3.166666666666667,Olympia Electronics SLP,3.833333333333333,Olympia Electronics SLP,3.5,Olympia Electronics SLP,4.404761904761903
14,"(CERTIFIED REFURBISHED) Philips Airfryer HD9240/90 Large Capacity with Digital Display, 1.2Kg",India INC.,3.6585406416155344,India INC.,3.5,India INC.,4.05,India INC.,3.775,India INC.,4.514285714285714
15,(CERTIFIED REFURBISHED) Philips Amaze HL7575/00 600-Watt Juicer Mixer Grinder with 2 Jars (Celestial Blue/Bright White),India Sales Corp,3.5542584991803903,India Sales Corp,3.5,India Sales Corp,3.933333333333333,India Sales Corp,3.7166666666666655,India Sales Corp,4.419047619047619
16,(CERTIFIED REFURBISHED) Philips Daily Collection HD2582/00 830-Watt 2-Slice Pop-up Toaster (White),India INC.,3.2471384143634303,India INC.,2.8000000000000003,India INC.,4.06,India INC.,3.43,India INC.,4.3933333333333335
17,(CERTIFIED REFURBISHED) Philips GC181 Heavy Weight 1000-Watt Dry Iron (Black),India INC.,4.325877784263733,India INC.,4.333333333333333,India INC.,4.366666666666666,India INC.,4.3500000000000005,India INC.,4.666666666666667
18,(CERTIFIED REFURBISHED) Philips GC330 1000-Watt Handheld Garment Steamer (Red),India INC.,3.6665635756934716,India INC.,3.75,India INC.,3.9,India INC.,3.825,India INC.,4.42
