,Product,Best_Seller,Best_Seller_Rating
0,""" ROCKY "" 60 Lt Grey Rucksack I Hiking backpack",POLESTAR-BAGS,99.0
1,""" ROCKY "" 60 Lt Royal Rucksack I Hiking backpack",POLESTAR-BAGS,115.0
2,"""HERO"" 32 Lt Pink Brown Casual Backpack I bagpack",POLESTAR-BAGS,189.0
3,"""HERO"" 32 Lt Sky & Navy Casual Backpack I bagpack",POLESTAR-BAGS,259.0
4,"""TREK 44 Lt Blue grey Rucksack I Hiking backpack",POLESTAR-BAGS,65.0
5,"'s Men's Leather Black Wallet (PN- WL1 BLK2,Black)",KAS CREATION,99.0
6,(CERTIFIED REFURBISHED) Bajaj Bravo Dlx 500-Watt Mixer Grinder (White/BLUE),India Sales Corp,320.0
7,"(CERTIFIED REFURBISHED) Hawkins Inducion Based Futura Hard Anodised Cooker, 5 Litres, Black",Cloudtail.,175.0
8,(CERTIFIED REFURBISHED) KENT Personal Rice Cooker 0.9-Litres 180-Watt (Black and Silver),CloudNine India,328.0
9,(CERTIFIED REFURBISHED) Maharaja Whiteline Gala JX-117 450-Watt Juicer Mixer Grinder with 2 Jars (White/Majestic Maroon),India Sales Corp,165.0
10,"(CERTIFIED REFURBISHED) Milton Thermosteel Plain Lid Flask, 500ml, Sleelplain",Cloudtail.,134.7
11,(CERTIFIED REFURBISHED) Orient Electric Aero Series 1200mm Ceiling Fan (White),India Sales Corp,125.0
12,(CERTIFIED REFURBISHED) Orient Electric Bladeless Fan with Remote (40 Watts),Cloudtail.,153.0
13,(CERTIFIED REFURBISHED) Panasonic SR-W18GH 270-Watt Automatic Cooker Warmer Combo Gift Pack (Gold),Olympia Electronics SLP,97.0
14,"(CERTIFIED REFURBISHED) Philips Airfryer HD9240/90 Large Capacity with Digital Display, 1.2Kg",India INC.,403.0
15,(CERTIFIED REFURBISHED) Philips Amaze HL7575/00 600-Watt Juicer Mixer Grinder with 2 Jars (Celestial Blue/Bright White),India Sales Corp,315.0
16,(CERTIFIED REFURBISHED) Philips Daily Collection HD2582/00 830-Watt 2-Slice Pop-up Toaster (White),India INC.,180.0
17,(CERTIFIED REFURBISHED) Philips GC181 Heavy Weight 1000-Watt Dry Iron (Black),India INC.,149.0
18,(CERTIFIED REFURBISHED) Philips GC330 1000-Watt Handheld Garment Steamer (Red),India INC.,152.0
19,"(CERTIFIED REFURBISHED) Philips Viva Collection Masticating juicer HR1887/81 XL tube, 70 mm Quick clean",India INC.,146.0
20,(CERTIFIED REFURBISHED) Pureit Classic 23-Litre Water Purifier,India INC.,174.0
21,"(CERTIFIED REFURBISHED) SS Master English-Willow Cricket Bat, Size 6 (Color may vary)",Cloudtail.,133.0
22,(CERTIFIED REFURBISHED) Sony DAV-TZ145 Home Theatre System (Black),Rockingdeals,8490.0
23,(CERTIFIED REFURBISHED) Speedo Futura Biofuse Goggles,Cloudtail.,99.0
24,(CERTIFIED REFURBISHED) Speedo Unisex-Adult Aquapulse Max 2 Goggles,Cloudtail.,280.0
25,(CERTIFIED REFURBISHED) Speedo Unisex-Adult Aquapure Goggles,Cloudtail.,193.0
26,(CERTIFIED REFURBISHED) Tefal Easygliss 2200-Watt Steam Iron (Green),Cloudtail.,120.0
27,(CERTIFIED REFURBISHED) Usha Colt Plus MG 3772 750-Watt Copper Motor Mixer Grinder with 3 Jars (White/Blue),India INC.,169.0
28,(CERTIFIED REFURBISHED) Usha Maxx Air Comfy 400mm Pedestal Fan with Remote (White),India INC.,350.0
29,(CERTIFIED REFURBISHED) Usha Steam Pro SI 3713 1300-Watt Steam Iron (White/Blue),India INC.,174.0
30,(Certified REFURBISHED) Bajaj FX 11 600-Watt Mixer Grinder with 3 Jars (White),Cloudtail.,108.8
31,"(Certified REFURBISHED) Bajaj Majesty 1603 TSS Oven Toaster Grill, Silver",Cloudtail.,149.0
32,"(Certified REFURBISHED) Ganesh Stainless Steel 12 Cutting Blades Vegetable Dicer, Green",Rockingdeals,162.0
33,(Certified REFURBISHED) Havells FHVVEDXOWH10 250mm Exhaust Fan (White),India INC.,239.0
34,(Certified REFURBISHED) Havells Ventilair DSP 300mm Exhaust Fan (Green),India INC.,165.0
35,(Certified REFURBISHED) Maharaja Whiteline MG Livo MX-151 500-Watt Mixer Grinder with 3 Jars (Red),India Sales Corp,190.0
36,(Certified REFURBISHED) Morphy Richards Lavo 15-Litre Water Heater (White),Olympia Electronics SLP,218.0
37,"(Certified REFURBISHED) Nirlon Stainless Steel Flask, 1.8 Litre, Silver",Rockingdeals,97.0
38,(Certified REFURBISHED) Panasonic MX-AC400 550-Watt Super Mixer Grinder with 4 Jars (Black),Olympia Electronics SLP,290.0
39,(Certified REFURBISHED) Panasonic SR-WA22H(E) 5.4-Litre Automatic Rice Cooker (Apple Green),Olympia Electronics SLP,114.9
40,(Certified REFURBISHED) Philips Amaze HL7576/00 600-Watt Juicer Mixer Grinder with 3 Jars (Celestial Blue/Bright White),India INC.,114.0
41,(Certified REFURBISHED) Philips EasySpeed Plus GC2040 2100-Watt Steam Iron (Blue),Cloudtail.,49.0
42,(Certified REFURBISHED) Philips EasySpeed Plus GC2048 2300-Watt Steam Iron (Purple),India Sales Corp,145.0
43,(Certified REFURBISHED) Philips HD4929 2100-Watt Induction Cooker (Black),India INC.,150.0
44,(Certified REFURBISHED) Philips HD9316/06 1800-Watt Electric Kettle (Multicolour),India INC.,170.0
45,(Certified REFURBISHED) Philips HR1350/C 250-Watt Hand Blender (White),India INC.,508.0
46,(Certified REFURBISHED) Philips MiniVac FC6130 900-Watt Handheld Vacuum Cleaner (White/Grey),India INC.,299.0
47,(Certified REFURBISHED) Philips Viva Collection HR1863/20 500-Watt Juicer (Black/Silver),India Sales Corp,190.0
48,(Certified REFURBISHED) Preethi Popular MG 142 750-Watt Mixer Grinder with 3 Jars (White),Olympia Electronics SLP,135.0
49,"(Certified REFURBISHED) Tosaa Non-Stick 7 Cavity Appam Patra with Lid, 17cm",Cloudtail.,134.7
50,(Certified REFURBISHED) Usha Crisp Air 250mm Exhaust Fan (Pearl White),Cloudtail.,110.0
51,-Hero PRO 30 Lt Black Casual School Backpack Bag,POLESTAR-BAGS,193.0
