,Product,Best_Seller,Best_Seller_Rating
0,""" ROCKY "" 60 Lt Grey Rucksack I Hiking backpack",Buy  More,3.8263291671297455
1,""" ROCKY "" 60 Lt Royal Rucksack I Hiking backpack",POLESTAR-BAGS,2.257726265914564
2,"""HERO"" 32 Lt Pink Brown Casual Backpack I bagpack",POLESTAR-BAGS,4.39782760419792
3,"""HERO"" 32 Lt Sky & Navy Casual Backpack I bagpack",POLESTAR-BAGS,3.176964426961517
4,"""TREK 44 Lt Blue grey Rucksack I Hiking backpack",POLESTAR-BAGS,3.95535446067684
5,"'s Men's Leather Black Wallet (PN- WL1 BLK2,Black)",FSNSTORE,4.235411116016099
6,(CERTIFIED REFURBISHED) Bajaj Bravo Dlx 500-Watt Mixer Grinder (White/BLUE),India Sales Corp,3.0945797545630658
7,"(CERTIFIED REFURBISHED) Hawkins Inducion Based Futura Hard Anodised Cooker, 5 Litres, Black",Cloudtail.,3.434806023210672
8,(CERTIFIED REFURBISHED) KENT Personal Rice Cooker 0.9-Litres 180-Watt (Black and Silver),CloudNine India,3.3719316266142387
9,(CERTIFIED REFURBISHED) Maharaja Whiteline Gala JX-117 450-Watt Juicer Mixer Grinder with 2 Jars (White/Majestic Maroon),India Sales Corp,3.102955080940588
10,"(CERTIFIED REFURBISHED) Milton Thermosteel Plain Lid Flask, 500ml, Sleelplain",Cloudtail.,3.1498959948395036
11,(CERTIFIED REFURBISHED) Orient Electric Aero Series 1200mm Ceiling Fan (White),India Sales Corp,3.9160336106554414
12,(CERTIFIED REFURBISHED) Orient Electric Bladeless Fan with Remote (40 Watts),Cloudtail.,3.78936818120735
13,(CERTIFIED REFURBISHED) Panasonic SR-W18GH 270-Watt Automatic Cooker Warmer Combo Gift Pack (Gold),Olympia Electronics SLP,3.3222865788561773
14,"(CERTIFIED REFURBISHED) Philips Airfryer HD9240/90 Large Capacity with Digital Display, 1.2Kg",India INC.,3.6585406416155344
15,(CERTIFIED REFURBISHED) Philips Amaze HL7575/00 600-Watt Juicer Mixer Grinder with 2 Jars (Celestial Blue/Bright White),India Sales Corp,3.5542584991803903
16,(CERTIFIED REFURBISHED) Philips Daily Collection HD2582/00 830-Watt 2-Slice Pop-up Toaster (White),India INC.,3.2471384143634303
17,(CERTIFIED REFURBISHED) Philips GC181 Heavy Weight 1000-Watt Dry Iron (Black),India INC.,4.325877784263733
18,(CERTIFIED REFURBISHED) Philips GC330 1000-Watt Handheld Garment Steamer (Red),India INC.,3.6665635756934716
19,"(CERTIFIED REFURBISHED) Philips Viva Collection Masticating juicer HR1887/81 XL tube, 70 mm Quick clean",India INC.,3.27089696238404
20,(CERTIFIED REFURBISHED) Pureit Classic 23-Litre Water Purifier,India INC.,4.010323874531237
21,"(CERTIFIED REFURBISHED) SS Master English-Willow Cricket Bat, Size 6 (Color may vary)",Cloudtail.,3.731546256244428
22,(CERTIFIED REFURBISHED) Sony DAV-TZ145 Home Theatre System (Black),Rockingdeals,2.18819170581468
23,(CERTIFIED REFURBISHED) Speedo Futura Biofuse Goggles,Cloudtail.,3.0190434054531283
24,(CERTIFIED REFURBISHED) Speedo Unisex-Adult Aquapulse Max 2 Goggles,Cloudtail.,3.483882115758991
25,(CERTIFIED REFURBISHED) Speedo Unisex-Adult Aquapure Goggles,Cloudtail.,4.520434090990038
26,(CERTIFIED REFURBISHED) Tefal Easygliss 2200-Watt Steam Iron (Green),Cloudtail.,2.9873935494354624
27,(CERTIFIED REFURBISHED) Usha Colt Plus MG 3772 750-Watt Copper Motor Mixer Grinder with 3 Jars (White/Blue),India INC.,4.390925382094462
28,(CERTIFIED REFURBISHED) Usha Maxx Air Comfy 400mm Pedestal Fan with Remote (White),India INC.,2.8817201461122446
29,(CERTIFIED REFURBISHED) Usha Steam Pro SI 3713 1300-Watt Steam Iron (White/Blue),India INC.,2.620417135850357
30,(Certified REFURBISHED) Bajaj FX 11 600-Watt Mixer Grinder with 3 Jars (White),Cloudtail.,2.360047880775052
31,"(Certified REFURBISHED) Bajaj Majesty 1603 TSS Oven Toaster Grill, Silver",Cloudtail.,3.1949995163687204
32,"(Certified REFURBISHED) Ganesh Stainless Steel 12 Cutting Blades Vegetable Dicer, Green",Rockingdeals,4.137066313865697
33,(Certified REFURBISHED) Havells FHVVEDXOWH10 250mm Exhaust Fan (White),Cloudtail.,3.900224534887272
34,(Certified REFURBISHED) Havells Ventilair DSP 300mm Exhaust Fan (Green),India INC.,3.068279566779293
35,(Certified REFURBISHED) Maharaja Whiteline MG Livo MX-151 500-Watt Mixer Grinder with 3 Jars (Red),India Sales Corp,2.8271890781407274
36,(Certified REFURBISHED) Morphy Richards Lavo 15-Litre Water Heater (White),Olympia Electronics SLP,3.4075689922866337
37,"(Certified REFURBISHED) Nirlon Stainless Steel Flask, 1.8 Litre, Silver",Rockingdeals,3.7675826709802536
38,(Certified REFURBISHED) Panasonic MX-AC400 550-Watt Super Mixer Grinder with 4 Jars (Black),Olympia Electronics SLP,4.520434090990038
39,(Certified REFURBISHED) Panasonic SR-WA22H(E) 5.4-Litre Automatic Rice Cooker (Apple Green),Olympia Electronics SLP,3.217400340072545
40,(Certified REFURBISHED) Philips Amaze HL7576/00 600-Watt Juicer Mixer Grinder with 3 Jars (Celestial Blue/Bright White),India INC.,3.5372415467687497
41,(Certified REFURBISHED) Philips EasySpeed Plus GC2040 2100-Watt Steam Iron (Blue),India INC.,4.231869465447131
42,(Certified REFURBISHED) Philips EasySpeed Plus GC2048 2300-Watt Steam Iron (Purple),India Sales Corp,4.068053065151196
43,(Certified REFURBISHED) Philips HD4929 2100-Watt Induction Cooker (Black),India INC.,3.1309094102209505
44,(Certified REFURBISHED) Philips HD9316/06 1800-Watt Electric Kettle (Multicolour),India INC.,3.334755830039425
45,(Certified REFURBISHED) Philips HR1350/C 250-Watt Hand Blender (White),India INC.,4.137836093767707
46,(Certified REFURBISHED) Philips MiniVac FC6130 900-Watt Handheld Vacuum Cleaner (White/Grey),India INC.,3.267420812085138
47,(Certified REFURBISHED) Philips Viva Collection HR1863/20 500-Watt Juicer (Black/Silver),India Sales Corp,4.240827197893785
48,(Certified REFURBISHED) Preethi Popular MG 142 750-Watt Mixer Grinder with 3 Jars (White),Olympia Electronics SLP,3.672085525799469
49,"(Certified REFURBISHED) Tosaa Non-Stick 7 Cavity Appam Patra with Lid, 17cm",Cloudtail.,3.9318451849534464
50,(Certified REFURBISHED) Usha Crisp Air 250mm Exhaust Fan (Pearl White),Cloudtail.,4.034798185299124
51,-Hero PRO 30 Lt Black Casual School Backpack Bag,POLESTAR-BAGS,3.524011308943073
52,1 Day Hiking Backpack for Boys/Girl (10L),RUSHI ENTERPRISE,2.7737910427435954
53,1 Fabric Large Size Purple 2 wheels Travel Duffel Bag,bnwinternationl,3.371663972245952
54,10 Pack 5.5 X 2.1mm DC Wire Power Connection Cable Cord 12V Female DC Cable Connector with Pigtail for CCTV Security Camera LED Strip (10 Pack Female Connector),Cart2India Online,2.684321358503126
55,10L Arpenaz Ultra-Compact Backpack,Cart2India Online,3.804459212039845
56,10L Unisex Multipurpose Nylon Backpack (Mint Green),Dhruv Sportz,3.7359612867262317
57,13 Slot Leather Brown Credit Card Case,SaiTech IT Private Limited (Since 2013),2.746009933340761
58,15 Ltrs Blue Rucksack (8357823),CAMSHOP,3.582052685790549
59,15 Ltrs Navy Anti Theft Waterproof Backpack,Cloudtail India,4.139472083344645
60,15.1 inch LED Backlit Computer Monitor Techcom 38.1CM Monitor Slim TC1611,Aim Square,3.804165765642383
61,15.5-inch Backpack Bag,KM&Co,3.383137938698576
62,"15.6"" Laptop Everyday Backpack (Blue)",Appario Retail Private Ltd,3.244180254886797
63,"18 L Polyester, Light Weight, Day-Trip/School Backpack - 2617",Absolute e Solutions,3.761080925716485
64,"19"" inch Spinner from House of VICTORINOX",Perusal,3.261132677057712
65,20 Ltrs Black Faux Leather Water Resistant Anti Theft Laptop Backpack,Cloudtail India,3.66299547967418
66,20 Ltrs Blue Casual Backpack (MDBKPECO50504),Cloudtail India,3.347006029016613
67,20 Ltrs Blue and Beige Rucksack (8331243),Dhruv Sportz,2.5726139898534277
68,20 Ltrs Brown Faux Leather Water Resistant Anti Theft Laptop Backpack,Cloudtail India,2.969445531973112
69,20W 20 WATT 7MM HOT MELT Glue Gun with ON Off Switch and LED Indicator (Free 10 Transparent Glue Sticks),jain1hub,3.863077577188596
70,26 LTR Blue School Bag with Laptop Pocket (_501),SSN ENTERPRISES,3.1088663075121272
71,26 Ltrs Teal Casual Backpack (BPEON2TEL),Sigma Online,3.3612123422106466
72,29 Ltrs Blue Casual Backpack (AMT Mist SCH BAG01 Blue),Shop-Box,3.513403770941957
73,3 Idiots,RADIO & GRAMOPHONE HOUSE,4.563963296601751
74,"3 In 1 Travel Kit Set - Neck Pillow, Eye Mask, Ear Bud (Multi Colour)",Inditradition ®,3.9990405823678823
75,31 Ltrs Blue Casual Backpack (11653-Blue),Textech Solutions,4.131041374306288
76,32 Ltrs Black Casual Backpack (AMT Fizz SCH Bag 03 - Black),Cloudtail India,3.4065362281045766
77,32 Ltrs Black Laptop Backpack (AMT Juke Laptop BKPK 01 -Black),Amigo Store,2.9969889367643434
