web-scraper-order,web-scraper-start-url,MultiLink,MultiLink-href,Product,Product-href,Pagination,Pagination-href,Brand,ProductRating,Category,Sellers,Sellers-href,SellerName,SellerName-href,Price,FeedBack
"1551196911-1362","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Indian Language Books","https://www.amazon.in/Indian-Language-Books/b/ref=sd_allcat_sbc_books_indian?ie=UTF8&node=4932325031","Sanchayan Part - 2 Supplementary Hindi (Second Language) Textbook for Class - 10  - 1058","https://www.amazon.in/Sanchayan-Part-Supplementary-Language-Textbook/dp/8174506659/ref=sr_1_24?s=books&ie=UTF8&qid=1551196866&sr=1-24","Next Page","https://www.amazon.in/s/ref=lp_4932325031_pg_2?rh=n%3A976389031%2Cn%3A%211318447031%2Cn%3A%211318449031%2Cn%3A4932325031&page=2&ie=UTF8&qid=1551196858","null","4.0 out of 5 stars","null","null","","","","",""
"1551197967-3307","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Exam Central","https://www.amazon.in/Exam-Preparations-Books/b/ref=sd_allcat_sbc_books_examcentral?ie=UTF8&node=4149751031","Bharat Ki Rajvayvastha","https://www.amazon.in/Bharat-Ki-Rajvayvastha-M-Laxmikanth/dp/9352603869/ref=lp_4149751031_1_15?s=books&ie=UTF8&qid=1551197455&sr=1-15","","","null","4.5 out of 5 stars","null","null","","","","",""
"1551199830-5768","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","School Textbooks","https://www.amazon.in/School-Books/b/ref=sd_allcat_sbc_books_schooltexts?ie=UTF8&node=4149807031","Oswaal CBSE Sample Question Paper Class 10 Science (For March 2019 Exam)","https://www.amazon.in/Oswaal-Sample-Question-Paper-Science/dp/9388036662/ref=lp_4149807031_1_5?s=books&ie=UTF8&qid=1551199422&sr=1-5","","","null","4.5 out of 5 stars","null","null","","","","",""
"1551196095-1","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Audible Membership","https://www.amazon.in/dp/B077S5CVBQ/ref=sd_allcat_aud_1","","","null","","","","","","","","","",""
"1551196518-308","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Audible Audiobooks & more","https://www.amazon.in/b/ref=sd_allcat_aud?ie=UTF8&node=11477925031","Take Control of Your Life: How to Silence Fear and Win the Mental Game","https://www.amazon.in/Take-Control-Your-Life-Silence/dp/B07LFJGXVN/ref=lp_11477925031_1_4?ie=UTF8&qid=1551196097&sr=1-4","","","null","null","null","null","","","","",""
"1551199517-5187","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","School Textbooks","https://www.amazon.in/School-Books/b/ref=sd_allcat_sbc_books_schooltexts?ie=UTF8&node=4149807031","Biology Textbook for Class - 12","https://www.amazon.in/Biology-Textbook-Class-12-NCERT/dp/817450639X/ref=sr_1_30?s=books&ie=UTF8&qid=1551199456&sr=1-30","Next Page","https://www.amazon.in/s/ref=lp_4149807031_pg_2?rh=n%3A976389031%2Cn%3A%21976390031%2Cn%3A15417300031%2Cn%3A4149807031&page=2&ie=UTF8&qid=1551199422","null","3.7 out of 5 stars","null","null","","","","",""
"1551199538-5226","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","School Textbooks","https://www.amazon.in/School-Books/b/ref=sd_allcat_sbc_books_schooltexts?ie=UTF8&node=4149807031","Key to Wren & Martin's Regular & Multicolour Edition of High School English Grammar & Composition","https://www.amazon.in/Martins-Regular-Multicolour-English-Composition/dp/9352530152/ref=sr_1_29?s=books&ie=UTF8&qid=1551199456&sr=1-29","Next Page","https://www.amazon.in/s/ref=lp_4149807031_pg_2?rh=n%3A976389031%2Cn%3A%21976390031%2Cn%3A15417300031%2Cn%3A4149807031&page=2&ie=UTF8&qid=1551199422","null","4.3 out of 5 stars","null","null","","","","",""
"1551200264-6934","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Fiction Books","https://www.amazon.in/literature-fiction-books/b/ref=sd_allcat_sbc_books_fiction?ie=UTF8&node=1318157031","Everyone has a story","https://www.amazon.in/Everyone-has-story-Savi-Sharma-ebook/dp/B01ELLDUBO/ref=lp_1318157031_1_4?s=books&ie=UTF8&qid=1551200049&sr=1-4","","","null","4.1 out of 5 stars","null","null","","","","",""
"1551197017-1659","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Indian Language Books","https://www.amazon.in/Indian-Language-Books/b/ref=sd_allcat_sbc_books_indian?ie=UTF8&node=4932325031","Bharatiya Arthvyavastha: Civil Seva Evam Rajya Civil Seva Pariksha Ke Liye Upyogi","https://www.amazon.in/Bharatiya-Arthvyavastha-Civil-Pariksha-Upyogi/dp/9387572854/ref=lp_4932325031_1_12?s=books&ie=UTF8&qid=1551196858&sr=1-12","","","null","4.0 out of 5 stars","null","null","","","","",""
"1551196600-503","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Kindle eBooks","https://www.amazon.in/ebooks-kindle/b/ref=sd_allcat_sbc_books_ebooks?ie=UTF8&node=1634753031","Spoken English & Grammar: A Self Learning Book Made Simple For All.","https://www.amazon.in/Spoken-English-Grammar-Learning-Simple-ebook/dp/B01CCZUS3E/ref=sr_1_26?s=digital-text&ie=UTF8&qid=1551196538&sr=1-26","Next Page","https://www.amazon.in/s/ref=lp_1634753031_pg_2?rh=n%3A1571277031%2Cn%3A%211571278031%2Cn%3A1634753031&page=2&ie=UTF8&qid=1551196519","null","4.4 out of 5 stars","null","null","","","","",""
"1551196824-1099","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Kindle eBooks","https://www.amazon.in/ebooks-kindle/b/ref=sd_allcat_sbc_books_ebooks?ie=UTF8&node=1634753031","Why I Stopped Wearing My Socks","https://www.amazon.in/Why-Stopped-Wearing-My-Socks-ebook/dp/B07GKX87B3/ref=lp_1634753031_1_7?s=digital-text&ie=UTF8&qid=1551196519&sr=1-7","","","null","4.8 out of 5 stars","null","null","","","","",""
