web-scraper-order,web-scraper-start-url,MultiLink,MultiLink-href,Product,Product-href,Pagination,Pagination-href,Brand,ProductRating,Category,Sellers,Sellers-href,SellerName,SellerName-href,Price,FeedBack
"1551205161-20489","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Wallets","https://www.amazon.in/wallets-for-men/b/ref=sd_allcat_sbc_mfashion_wallets?ie=UTF8&node=2917496031","Men's Wallet","https://www.amazon.in/Accezory-tan-Mens-Wallet-AZKAAN1TNTN/dp/B01N9ULR2M/ref=lp_2917496031_1_28?s=luggage&ie=UTF8&qid=1551201265&sr=1-28","","","Accezory","3.8 out of 5 stars","null","3 offers","https://www.amazon.in/gp/offer-listing/B01N9ULR2M/ref=dp_olp_new?ie=UTF8&condition=new","Cloudtail India","https://www.amazon.in/gp/aag/main/ref=olp_merch_name_1?ie=UTF8&asin=B01N9ULR2M&isAmazonFulfilled=1&seller=AT95IG9ONZD7S","","5 out of 5 stars"
"1551196295-75","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","The Designer Boutique","https://www.amazon.in/b/ref=sd_allcat_sbc_mfashion_designerstore?ie=UTF8&node=6172354031","shaze Criss-Cross Party Ring for Women/Girls Rings for Women Stylish | Ring for Girlfriend","https://www.amazon.in/Shaze-Womens-Brass-Criss-Cross-Silver/dp/B0768HLN76/ref=sr_1_96?s=apparel&ie=UTF8&qid=1551196224&sr=1-96","Next Page","https://www.amazon.in/s/ref=lp_6172354031_pg_2?rh=n%3A6648217031%2Cn%3A%216648222031%2Cn%3A%216648224031%2Cn%3A6172354031&page=2&ie=UTF8&qid=1551196180","null","5.0 out of 5 stars","null","null","","","","",""
"1551205341-20992","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Wallets","https://www.amazon.in/wallets-for-men/b/ref=sd_allcat_sbc_mfashion_wallets?ie=UTF8&node=2917496031","Black Men's Wallet (R31992029)","https://www.amazon.in/Peter-England-Black-Wallet-R31992029/dp/B07LH7D7VD/ref=lp_2917496031_1_21?s=luggage&ie=UTF8&qid=1551201265&sr=1-21","","","Peter England","null","null","1 offer","https://www.amazon.in/gp/offer-listing/B07LH7D7VD/ref=dp_olp_new?ie=UTF8&condition=new","Cloudtail India","https://www.amazon.in/gp/aag/main/ref=olp_merch_name_1?ie=UTF8&asin=B07LH7D7VD&isAmazonFulfilled=1&seller=AT95IG9ONZD7S","","5 out of 5 stars"
"1551204200-17305","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Wallets","https://www.amazon.in/wallets-for-men/b/ref=sd_allcat_sbc_mfashion_wallets?ie=UTF8&node=2917496031","WildHorn Black Men's Wallet (WH2005)","https://www.amazon.in/WildHorn-Black-Mens-Wallet-WH2005/dp/B076ZJQWGK/ref=lp_2917496031_1_44?s=luggage&ie=UTF8&qid=1551201265&sr=1-44","","","WildHorn","3.9 out of 5 stars","null","2 offers","https://www.amazon.in/gp/offer-listing/B076ZJQWGK/ref=dp_olp_new?ie=UTF8&condition=new","Cloudtail India","https://www.amazon.in/gp/aag/main/ref=olp_merch_name_2?ie=UTF8&asin=B076ZJQWGK&isAmazonFulfilled=1&seller=AT95IG9ONZD7S","","0 out of 5 stars"
"1551207851-27311","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Innerwear","https://www.amazon.in/Mens-Inner-wear/b/ref=sd_allcat_sbc_mfashion_innerwear?ie=UTF8&node=1968126031","Men's Brief (Pack of 3)","https://www.amazon.in/Jockey-Cotton-8035-0310-ASSTD-Navy-L_Navy_Large/dp/B014210OXK/ref=lp_1968126031_1_27?s=apparel&ie=UTF8&qid=1551207659&sr=1-27","","","null","4.2 out of 5 stars","Briefs","null","","","","",""
"1551207401-26008","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Watches","https://www.amazon.in/Men-Watches/b/ref=sd_allcat_sbc_mfashion_watches?ie=UTF8&node=2563504031","Analog Multicolor Dial Men's Watch -NJ7987SL01W","https://www.amazon.in/Sonata-Analog-Multicolor-Dial-Watch-NJ7987SL01W/dp/B00EY7Q1TO/ref=sr_1_66?s=watches&ie=UTF8&qid=1551207245&sr=1-66","Next Page","https://www.amazon.in/s/ref=lp_2563504031_pg_2?rh=n%3A1350387031%2Cn%3A%211350388031%2Cn%3A2563504031&page=2&ie=UTF8&qid=1551207235","null","3.7 out of 5 stars","null","null","","","","",""
"1551204679-18916","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Wallets","https://www.amazon.in/wallets-for-men/b/ref=sd_allcat_sbc_mfashion_wallets?ie=UTF8&node=2917496031","Brown Men's Wallet (TW106LM1DB)","https://www.amazon.in/Titan-Brown-Mens-Wallet-TW106LM1DB/dp/B00I3WUZVQ/ref=lp_2917496031_1_37?s=luggage&ie=UTF8&qid=1551201265&sr=1-37","","","Titan","4.3 out of 5 stars","null","15 offers","https://www.amazon.in/gp/offer-listing/B00I3WUZVQ/ref=dp_olp_new?ie=UTF8&condition=new","Cambium Retail","https://www.amazon.in/gp/aag/main/ref=olp_merch_name_3?ie=UTF8&asin=B00I3WUZVQ&isAmazonFulfilled=1&seller=A2XS4ABRR727IE","","4 out of 5 stars"
"1551202540-12078","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Wallets","https://www.amazon.in/wallets-for-men/b/ref=sd_allcat_sbc_mfashion_wallets?ie=UTF8&node=2917496031","Brown Men's Wallet","https://www.amazon.in/BOGESI-BOGWA836-Brown-Mens-Wallet/dp/B01MZ9LX4V/ref=sr_1_76?s=luggage&ie=UTF8&qid=1551201280&sr=1-76","Next Page","https://www.amazon.in/s/ref=lp_2917496031_pg_2?rh=n%3A2454169031%2Cn%3A%212454170031%2Cn%3A2917484031%2Cn%3A2917496031&page=2&ie=UTF8&qid=1551201265","BOGESI","4.0 out of 5 stars","null","4 offers","https://www.amazon.in/gp/offer-listing/B01MZ9LX4V/ref=dp_olp_new?ie=UTF8&condition=new","Bhavans Enterprises","https://www.amazon.in/gp/aag/main/ref=olp_merch_name_1?ie=UTF8&asin=B01MZ9LX4V&isAmazonFulfilled=0&seller=ABYC8V4SLCG38","","0 out of 5 stars"
"1551208453-29213","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Shirts","https://www.amazon.in/Mens-Shirts/b/ref=sd_allcat_sbc_mfashion_shirts?ie=UTF8&node=1968093031","Men's Checkered Regular Fit Casual Shirt","https://www.amazon.in/Red-Tape-Checkered-Regular-RHS0050_Plum_Large/dp/B07KT9P6KF/ref=lp_1968093031_1_11?s=apparel&ie=UTF8&qid=1551208238&sr=1-11","","","null","2.5 out of 5 stars","Casual Shirts","null","","","","",""
"1551204816-19337","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Wallets","https://www.amazon.in/wallets-for-men/b/ref=sd_allcat_sbc_mfashion_wallets?ie=UTF8&node=2917496031","Wildhorn Men Black Wallet, Key Ring & Pen","https://www.amazon.in/Wildhorn-Men-Black-Wallet-Ring/dp/B017IY31X8/ref=lp_2917496031_1_35?s=luggage&ie=UTF8&qid=1551201265&sr=1-35","","","WildHorn","4.3 out of 5 stars","null","2 offers","https://www.amazon.in/gp/offer-listing/B017IY31X8/ref=dp_olp_new?ie=UTF8&condition=new","WildHorn India","https://www.amazon.in/gp/aag/main/ref=olp_merch_name_1?ie=UTF8&asin=B017IY31X8&isAmazonFulfilled=1&seller=A2RO2ERLWXVSHP","","1 out of 5 stars"
"1551204638-18768","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Wallets","https://www.amazon.in/wallets-for-men/b/ref=sd_allcat_sbc_mfashion_wallets?ie=UTF8&node=2917496031","Brown Men's Wallet (TW106LM1DB)","https://www.amazon.in/Titan-Brown-Mens-Wallet-TW106LM1DB/dp/B00I3WUZVQ/ref=lp_2917496031_1_37?s=luggage&ie=UTF8&qid=1551201265&sr=1-37","","","Titan","4.3 out of 5 stars","null","15 offers","https://www.amazon.in/gp/offer-listing/B00I3WUZVQ/ref=dp_olp_new?ie=UTF8&condition=new","BAG  STREET","https://www.amazon.in/gp/aag/main/ref=olp_merch_name_6?ie=UTF8&asin=B00I3WUZVQ&isAmazonFulfilled=1&seller=A2VH1EXILJU6WT","","4 out of 5 stars"
"1551203573-15205","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Wallets","https://www.amazon.in/wallets-for-men/b/ref=sd_allcat_sbc_mfashion_wallets?ie=UTF8&node=2917496031","Hornbull Men's Black Rigohill Leather Wallet","https://www.amazon.in/Hornbull-Black-Rigohill-Leather-Wallet/dp/B072833Y5K/ref=sr_1_58?s=luggage&ie=UTF8&qid=1551201280&sr=1-58","Next Page","https://www.amazon.in/s/ref=lp_2917496031_pg_2?rh=n%3A2454169031%2Cn%3A%212454170031%2Cn%3A2917484031%2Cn%3A2917496031&page=2&ie=UTF8&qid=1551201265","HORNBULL","4.0 out of 5 stars","null","1 offer","https://www.amazon.in/gp/offer-listing/B072833Y5K/ref=dp_olp_new?ie=UTF8&condition=new","Blu  Horizon","https://www.amazon.in/gp/aag/main/ref=olp_merch_name_1?ie=UTF8&asin=B072833Y5K&isAmazonFulfilled=1&seller=A1LQ5DK9U47UYN","","1 out of 5 stars"
"1551209203-31553","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Clothing","https://www.amazon.in/Mens-Clothing/b/ref=sd_allcat_sbc_mfashion_clothing?ie=UTF8&node=1968024031","WTA-04 Power Cotton Gym Support with Thumb Support Grip Gloves (Black)","https://www.amazon.in/Kobo-WTA-04-Cotton-Support-Gloves/dp/B010WTTOI2/ref=lp_1968024031_1_21?s=apparel&ie=UTF8&qid=1551208698&sr=1-21","","","Kobo","4.6 out of 5 stars","Gloves","9 offers","https://www.amazon.in/gp/offer-listing/B010WTTOI2/ref=dp_olp_new?ie=UTF8&condition=new","asg fitness","https://www.amazon.in/gp/aag/main/ref=olp_merch_name_4?ie=UTF8&asin=B010WTTOI2&isAmazonFulfilled=1&seller=A1TSWS7HMAHEJ","","1 out of 5 stars"
"1551209141-31366","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Clothing","https://www.amazon.in/Mens-Clothing/b/ref=sd_allcat_sbc_mfashion_clothing?ie=UTF8&node=1968024031","WTA-04 Power Cotton Gym Support with Thumb Support Grip Gloves (Black)","https://www.amazon.in/Kobo-WTA-04-Cotton-Support-Gloves/dp/B010WTTOI2/ref=lp_1968024031_1_21?s=apparel&ie=UTF8&qid=1551208698&sr=1-21","","","Kobo","4.6 out of 5 stars","Gloves","9 offers","https://www.amazon.in/gp/offer-listing/B010WTTOI2/ref=dp_olp_new?ie=UTF8&condition=new","Champs Sports Goa","https://www.amazon.in/gp/aag/main/ref=olp_merch_name_7?ie=UTF8&asin=B010WTTOI2&isAmazonFulfilled=0&seller=A2URVQEA29UH8T","","0 out of 5 stars"
"1551208213-28406","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Jeans","https://www.amazon.in/Mens-Jeans/b/ref=sd_allcat_sbc_mfashion_jeans?ie=UTF8&node=1968076031","Men's Regular fit Denim Jeans Blue","https://www.amazon.in/Demokrazy-Blended-Regular-Denim-Jeans/dp/B07K2YJ696/ref=lp_1968076031_1_14?s=apparel&ie=UTF8&qid=1551207913&sr=1-14","","","null","3.4 out of 5 stars","null","null","","","","",""
"1551203310-14368","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Wallets","https://www.amazon.in/wallets-for-men/b/ref=sd_allcat_sbc_mfashion_wallets?ie=UTF8&node=2917496031","Black Men's Wallet (TW112LM1BK)","https://www.amazon.in/Titan-Black-Mens-Wallet-TW112LM1BK/dp/B00I3WUZN4/ref=sr_1_60?s=luggage&ie=UTF8&qid=1551201280&sr=1-60","Next Page","https://www.amazon.in/s/ref=lp_2917496031_pg_2?rh=n%3A2454169031%2Cn%3A%212454170031%2Cn%3A2917484031%2Cn%3A2917496031&page=2&ie=UTF8&qid=1551201265","Titan","4.3 out of 5 stars","null","11 offers","https://www.amazon.in/gp/offer-listing/B00I3WUZN4/ref=dp_olp_new?ie=UTF8&condition=new","","","Rs. 1,010.00",""
"1551203299-14331","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Wallets","https://www.amazon.in/wallets-for-men/b/ref=sd_allcat_sbc_mfashion_wallets?ie=UTF8&node=2917496031","Hornbull Edward Brown Men's Genuine Leather RFID Blocking Wallet","https://www.amazon.in/Hornbull-Edward-Genuine-Leather-Blocking/dp/B07DYW16NV/ref=sr_1_61?s=luggage&ie=UTF8&qid=1551201280&sr=1-61","Next Page","https://www.amazon.in/s/ref=lp_2917496031_pg_2?rh=n%3A2454169031%2Cn%3A%212454170031%2Cn%3A2917484031%2Cn%3A2917496031&page=2&ie=UTF8&qid=1551201265","HORNBULL","4.2 out of 5 stars","null","1 offer","https://www.amazon.in/gp/offer-listing/B07DYW16NV/ref=dp_olp_new?ie=UTF8&condition=new","Blu  Horizon","https://www.amazon.in/gp/aag/main/ref=olp_merch_name_1?ie=UTF8&asin=B07DYW16NV&isAmazonFulfilled=1&seller=A1LQ5DK9U47UYN","","5 out of 5 stars"
