web-scraper-order,web-scraper-start-url,MultiLink,MultiLink-href,Product,Product-href,Pagination,Pagination-href,Brand,ProductRating,Category,Sellers,Sellers-href,SellerName,SellerName-href,Price,FeedBack
"1551203952-16446","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Top Brands","https://www.amazon.in/s/ref=sd_allcat_sbc_wfashion_topbrands?_encoding=UTF8&bbn=1953602031&lo=apparel&rh=i%3Aapparel%2Cn%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Ck%3A-sunglass%20-eye%2Cp_98%3A10440597031%2Cp_n_feature_nineteen_browse-bin%3A11301357031","Georgette with Blouse Piece Saree","https://www.amazon.in/Womanista-Georgette-Ruffle-Blouse-FS9636_Maroon_Onesize/dp/B07K94SZPM/ref=sr_1_88?s=apparel&rps=1&ie=UTF8&qid=1551203920&sr=1-88&keywords=-sunglass+-eye&refinements=p_98%3A10440597031%2Cp_n_feature_nineteen_browse-bin%3A11301357031","Next Page","https://www.amazon.in/s/ref=sr_pg_2?rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Ck%3A-sunglass+-eye%2Cp_98%3A10440597031%2Cp_n_feature_nineteen_browse-bin%3A11301357031&page=2&bbn=1953602031&keywords=-sunglass+-eye&ie=UTF8&qid=1551203916&lo=apparel","null","3.9 out of 5 stars","Sarees","null","","","","",""
"1551201236-9503","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Fashion & Silver Jewellery","https://www.amazon.in/Fashion-Jewellery/b/ref=sd_allcat_sbc_wfashion_fashionjwl?ie=UTF8&node=5210079031","Apara Necklace with Pearl Drop and BahuBali Necklace Earring Combo Jewellery Set for Women","https://www.amazon.in/Apara-Necklace-BahuBali-Earring-Jewellery/dp/B07DGJBF6G/ref=sr_1_95?s=jewelry&ie=UTF8&qid=1551201219&sr=1-95","Next Page","https://www.amazon.in/s/ref=lp_5210079031_pg_2?rh=n%3A1951048031%2Cn%3A%212152573031%2Cn%3A%212152575031%2Cn%3A5210079031&page=2&ie=UTF8&qid=1551201202","null","2.1 out of 5 stars","null","null","","","","",""
"1551196591-467","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","The Designer Boutique","https://www.amazon.in/b/ref=sd_allcat_sbc_wfashion_designerstore?ie=UTF8&node=6172354031","Premium Leather Tan Oxford Shoes with Perforated Detaling","https://www.amazon.in/HATS-OFF-ACCESSORIES-Shoes-10-HOA-AW1709TAN_44/dp/B07BVQNB8Y/ref=sr_1_78?s=apparel&ie=UTF8&qid=1551196332&sr=1-78","Next Page","https://www.amazon.in/s/ref=lp_6172354031_pg_2?rh=n%3A6648217031%2Cn%3A%216648222031%2Cn%3A%216648224031%2Cn%3A6172354031&page=2&ie=UTF8&qid=1551196298","null","null","Formal Shoes","null","","","","",""
"1551201481-9941","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Fashion & Silver Jewellery","https://www.amazon.in/Fashion-Jewellery/b/ref=sd_allcat_sbc_wfashion_fashionjwl?ie=UTF8&node=5210079031","Meenaz Traditional Gold Pearl Chain Mathapatti /Mang Tikka Combo Set For Women 110","https://www.amazon.in/Meenaz-Traditional-Pearl-Chain-Mathapatti/dp/B07BH25T47/ref=sr_1_81?s=jewelry&ie=UTF8&qid=1551201219&sr=1-81","Next Page","https://www.amazon.in/s/ref=lp_5210079031_pg_2?rh=n%3A1951048031%2Cn%3A%212152573031%2Cn%3A%212152575031%2Cn%3A5210079031&page=2&ie=UTF8&qid=1551201202","null","2.8 out of 5 stars","Maang Tikkas","null","","","","",""
"1551202919-13229","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Handbags & Clutches","https://www.amazon.in/Handbags-Clutches/b/ref=sd_allcat_sbc_wfashion_handbags?ie=UTF8&node=1983338031","TUFO Women's Sling Bag (Red)","https://www.amazon.in/Lavie-TUFO-Womens-Sling-Bag/dp/B07KMN8PQ1/ref=sr_1_77?s=shoes&ie=UTF8&qid=1551202840&sr=1-77","Next Page","https://www.amazon.in/s/ref=lp_1983338031_pg_2?rh=n%3A1571283031%2Cn%3A%211571284031%2Cn%3A1983338031&page=2&ie=UTF8&qid=1551202828","null","null","null","null","","","","",""
"1551200202-6757","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Fashion Sandals","https://www.amazon.in/Fashion-Sandals-Women/b/ref=sd_allcat_sbc_wfashion_sandals?ie=UTF8&node=1983633031","Women's Fashion Sandals","https://www.amazon.in/BATA-Womens-Riyaznew-Fashion-Sandals/dp/B00SWDU6M4/ref=lp_1983633031_1_20?s=shoes&ie=UTF8&qid=1551199628&sr=1-20","","","null","3.8 out of 5 stars","Fashion Sandals","null","","","","",""
"1551202554-12139","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Gold & Diamond Jewellery","https://www.amazon.in/Precious-Jewellery/b/ref=sd_allcat_sbc_wfashion_jewelry?ie=UTF8&node=5210069031","Malabar Gold and Diamonds 950 Platinum Necklace for Women","https://www.amazon.in/Malabar-Gold-Diamonds-Platinum-Necklace/dp/B0777V6CRX/ref=sr_1_68?s=jewelry&ie=UTF8&qid=1551202441&sr=1-68","Next Page","https://www.amazon.in/s/ref=lp_5210069031_pg_2?rh=n%3A1951048031%2Cn%3A%212152573031%2Cn%3A%212152575031%2Cn%3A5210069031&page=2&ie=UTF8&qid=1551202416","null","null","null","null","","","","",""
"1551203808-15983","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Watches","https://www.amazon.in/Women-Watches/b/ref=sd_allcat_sbc_wfashion_watches?ie=UTF8&node=2563505031","Explorist Analog-Digital Black Dial Men's Watch - FTW4002","https://www.amazon.in/Fossil-Explorist-Analog-Digital-Black-Watch-FTW4002/dp/B074VD6LSN/ref=lp_2563505031_1_32?s=watches&ie=UTF8&qid=1551203482&sr=1-32","","","null","2.8 out of 5 stars","null","null","","","","",""
"1551203863-16173","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Watches","https://www.amazon.in/Women-Watches/b/ref=sd_allcat_sbc_wfashion_watches?ie=UTF8&node=2563505031","Youth Analog Black Dial Women's Watch -NK2480SM02","https://www.amazon.in/Titan-Youth-Analog-Womens-Watch-NK2480SM02/dp/B00ATCDS30/ref=lp_2563505031_1_16?s=watches&ie=UTF8&qid=1551203482&sr=1-16","","","null","4.4 out of 5 stars","null","null","","","","",""
"1551203499-14964","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Watches","https://www.amazon.in/Women-Watches/b/ref=sd_allcat_sbc_wfashion_watches?ie=UTF8&node=2563505031","Raga Analog White Dial Women's Watch -NK2455SM01","https://www.amazon.in/Titan-Analog-White-Womens-Watch-NK2455SM01/dp/B007NM6N86/ref=sr_1_96?s=watches&ie=UTF8&qid=1551203489&sr=1-96","Next Page","https://www.amazon.in/s/ref=lp_2563505031_pg_2?rh=n%3A1350387031%2Cn%3A%211350388031%2Cn%3A2563505031&page=2&ie=UTF8&qid=1551203482","null","4.0 out of 5 stars","null","null","","","","",""
