,Seller,MultiLink,FeedBack_Rating,Courier_Rating,Product_Rating,Packaging_Rating,ALL_OVER
0,"""SHOP 24""",Heating & Cooling Appliances,3.356666666666667,4.376666666666667,3.892666666666666,4.048666666666666,3.759822346140287
1,"""SHOP 24""",Kitchen & Home Appliances,3.7058823529411766,4.35,3.650000000000001,4.35,3.8791454022172696
2,# Global Hub,DSLR Cameras,3.80188679245283,4.80943396226415,4.258176100628929,4.756446540880503,4.384181902725428
3,# Global Hub,Drives & Storage,3.0,4.680000000000001,4.200000000000001,4.680000000000001,4.067245543376966
4,# Global Hub,Home Audio & Theater,3.977272727272727,4.759090909090909,4.197727272727272,4.605681818181818,4.348282821219672
5,# Global Hub,Latest Video Games,3.9391304347826086,4.490434782608695,3.0730434782608693,4.114782608695652,3.761925844799408
6,# Global Hub,Smart Home,2.92,4.264000000000001,3.564,3.742,3.402054300832945
7,# Global Hub,Tablets,2.0,3.723333333333333,3.64,2.82,2.654914230995444
8,#GAME TECH,PC Games,2.8,3.28,1.6999999999999997,3.28,2.322180786002564
9,'JFS',Heating & Cooling Appliances,2.1855072463768117,4.200869565217389,4.048212560386471,4.067584541062799,3.4114069114822625
10,(Gadgets2use),Car Electronics,2.8441176470588236,4.172941176470588,3.578823529411765,3.211470588235294,3.176505356777786
11,(Gadgets2use),Computer Accessories,5.0,5.0,2.7,5.0,4.442405525310237
12,(Gadgets2use),Musical Instruments & Professional Audio,3.4705882352941178,4.324705882352941,3.4200000000000004,4.0335294117647065,3.6358909224287297
13,(Gadgets2use),PC Games,4.0,4.45,2.6999999999999997,4.45,3.769545612233908
14,(SPORTO FITNESS™)*,All Exercise & Fitness,3.1999999999999997,4.08,3.78,3.4900000000000007,3.387963111084672
15,(SPORTO FITNESS™)*,Strength Training,2.9126984126984126,4.15,3.8833333333333333,3.3980158730158725,3.332461238264419
16,*Marketing Online,Toys Gifting Store,4.0,4.4799999999999995,3.7,3.85,3.8625592538893736
17,-TOS-,Components,2.857142857142857,4.3428571428571425,3.7999999999999994,4.3428571428571425,3.676365799840352
18,-TOS-,Networking Devices,3.0,4.64,4.3999999999999995,4.64,4.094313217872479
19,.DFO INDIA LLP,Backpacks,4.0,4.414285714285714,3.6333333333333333,3.8166666666666664,3.8079348284465055
20,.DFO INDIA LLP,Computer Accessories,3.0,4.319047619047619,4.033333333333333,3.5166666666666666,3.5023797168124986
21,1 Stop Shop,Cricket,4.8,4.8,3.8000000000000003,4.3,4.3857749245336315
22,1 Stop Shop,Football,3.857142857142857,4.114285714285714,3.628571428571429,3.7428571428571433,3.6270056190470044
23,1 Stop Shop,Office Supplies & Stationery,3.1846153846153844,4.305384615384616,3.9553846153846166,4.1084615384615395,3.720866126019434
24,1 Stop Shoppee,Indoor Lighting,3.0,4.3,3.585714285714286,3.292857142857143,3.297754348516958
25,121 IT SOLUTIONS,Computer Accessories,2.444444444444444,4.122222222222223,3.8555555555555556,3.233333333333334,3.1282562464120813
26,121 IT SOLUTIONS,Home Entertainment Systems,2.739130434782609,3.965217391304348,3.539130434782609,3.704347826086956,3.217105123346315
27,1699 sikh store,Toys Gifting Store,3.8000000000000003,4.6866666666666665,4.22,4.010000000000001,4.08208624927096
28,1DEEP ENTERPRISES,Office Supplies & Stationery,3.6666666666666665,4.766666666666667,3.433333333333333,3.5499999999999994,3.7066755303695054
29,1st baby store,Diapers,3.6625,4.554166666666666,4.226041666666667,3.944270833333333,3.9726337814042787
30,1st baby store,Janitorial & Sanitation Supplies,2.5705128205128207,4.4586538461538465,4.112820512820512,3.858333333333334,3.5685494582197137
31,1st baby store,Nursing & Feeding,3.630769230769231,4.679487179487181,4.271794871794873,3.9512820512820506,4.026801916555167
32,1st baby store,Strollers & Prams,2.4,4.183333333333334,4.1000000000000005,3.25,3.212465822855498
33,24*7ATYOURSERVICE,Heating & Cooling Appliances,3.0793650793650795,4.192857142857143,3.8166666666666664,3.8670634920634925,3.5306293181908526
34,24*7ATYOURSERVICE,Kitchen & Home Appliances,1.1666666666666665,3.982857142857143,3.8400000000000003,2.5033333333333334,2.471663327836632
35,24SEVENINDIA,Computer Accessories,2.75,4.526666666666666,4.233333333333333,3.4916666666666663,3.558951867521272
36,24X7 SHOPPING ONLINE,Car Accessories,3.833333333333333,4.29047619047619,3.4666666666666663,3.6499999999999995,3.6127024353168853
37,24X7 SHOPPING ONLINE,Car Electronics,3.8,4.572727272727272,3.6999999999999997,3.75,3.8091118781633253
38,24X7 SHOPPING ONLINE,Car Parts,3.142857142857143,4.2,3.7142857142857144,3.4285714285714284,3.379637160653366
39,24X7 SHOPPING ONLINE,Cycling,4.333333333333333,4.704761904761905,4.016666666666667,4.175,4.236899016507914
40,24X7 SHOPPING STORE,Office Supplies & Stationery,3.7028985507246377,4.72608695652174,3.8217391304347834,4.318840579710145,4.060217440827674
