,Seller,Product,FeedBack_Rating,Courier_Rating,Product_Rating,Packaging_Rating,ALL_OVER
0,"""SHOP 24""",Butterfly Smart 750-Watt Mixer Grinder with 4 Jar (Grey),3.5,4.35,3.3999999999999995,4.35,3.5899900771658846
1,"""SHOP 24""","Crompton CG-IHL 152 1500-Watt Immersion Water Heater (Black), Compatible with 16A socket only",3.1578947368421053,4.471052631578948,4.081578947368421,3.9881578947368426,3.622201452626679
2,"""SHOP 24""",Crompton Hill Briz 1200mm Ceiling Fan (Brown),3.4,4.12,3.6000000000000005,4.12,3.4322459589457823
3,"""SHOP 24""",Crompton Solarium DLX IWH03PC1 3-Litre Instant Water Heater (Ivory),3.515873015873016,4.413492063492064,3.8611111111111107,4.069444444444445,3.668969033907968
4,"""SHOP 24""",Maharaja Whiteline Joy Turbo 750-Watt Mixer Grinder with 3 Jars (Black/Silver),3.6,4.32,3.6000000000000005,4.32,3.664097237426261
5,"""SHOP 24""",Prestige PIC 16.0+ 1900- Watt Induction Cooktop with Push button (Black),3.6,4.34,3.7,4.34,3.7144421622946906
6,"""SHOP 24""",Prestige PIC 20 1200 Watt Induction Cooktop with Push button (Black),3.75,4.225,3.799999999999999,4.225,3.6997645243513224
7,"""SHOP 24""",Prestige PKGSS 1.7L 1500W Electric Kettle (Stainless Steel),4.0,4.4375,3.5,4.4375,3.85740524429443
8,"""SHOP 24""","Prestige PSMFB 800 Watt Sandwich Toaster with Fixed Plates, Black",3.5,4.475,3.8999999999999995,4.475,3.8626718086722605
9,# Global Hub,Bose Soundbar Wall Bracket (Black),3.977272727272727,4.759090909090909,4.197727272727272,4.605681818181818,4.294157319432139
10,# Global Hub,Canon EOS M50 24.1MP Mirrorless Digital SLR Camera (Black) with EF-M 15-45 is STM Lens,3.9615384615384617,4.653846153846154,3.991025641025641,4.4378205128205135,4.107052877748164
11,# Global Hub,Fitbit Flex 2 Wireless Activity Tracker and Sleep Wristband (Black),2.92,4.264000000000001,3.564,3.742,3.183224868426719
12,# Global Hub,"Fujifilm X-T100 w/XC15-45mm Lens Kit Mirrorless Digital Camera (Silver) with 3.0"" TFT LCD",4.0,4.62,3.1000000000000005,4.62,3.876075170045064
13,# Global Hub,Fujifilm X-T3 Mirrorless Digital Camera (Black) with 18-55mm Lens Kit with Memory Card and Bag,3.5714285714285716,5.0,5.0,5.0,4.69506926861663
14,# Global Hub,Fujifilm X-T3 Mirrorless Digital Camera with 18-55mm Lens Kit with Memory Card and Bag (Silver),3.75,5.0,5.0,5.0,4.752385716086884
15,# Global Hub,Jump Force: Standard Edition - PlayStation 4,5.0,5.0,3.914285714285714,4.457142857142857,4.5773131197392445
16,# Global Hub,Metro Exodus: Day One Edition - PlayStation 4,3.475,4.2675,2.7050000000000005,3.965,3.1614572516037214
17,# Global Hub,"Nikon D7500 20.9MP DSLR Camera with AF-S DX NIKKOR 18-140mm f/3.5-5.6G ED VR Lens, Black (AF-S NIKKOR 18-140mm VR Lens)",3.75,4.775,4.1000000000000005,4.775,4.261558599375408
18,# Global Hub,"Samsung Galaxy Tab S4 SM-T835NZKAINS Tablet (10.5 inch, 64GB, Wi-Fi + 4G LTE + Voice Calling), Black",2.0,3.723333333333333,3.64,2.82,2.3114991920928
19,# Global Hub,[Sponsored]Strontium Nitro A1 64GB Micro SDXC Memory Card 100MB/s A1 UHS-I U3 Class 10 with High Speed Adapter for Smartphones Tablets Drones Action Cams (SRN64GTFU3A1A),3.0,4.680000000000001,4.200000000000001,4.680000000000001,3.9747717519133428
20,#GAME TECH,[Sponsored]Cars Toon: Master's Tall Tales (PC),2.8,3.28,1.6999999999999997,3.28,1.8974983511238286
21,'JFS',Usha Maxx Air 400mm 55-Watt Table Fan (White),1.5,4.200000000000001,4.200000000000001,4.200000000000001,3.090937135610108
22,'JFS',Usha Maxx Air 400mm Pedestal Fan (White),3.0526315789473686,4.21578947368421,3.8403508771929817,3.920175438596491,3.3664683461824554
23,'JFS',Usha Maxx Air 400mm Table Fan (Blue),2.3777777777777778,4.275555555555557,4.086666666666668,4.076666666666667,3.3203936372771814
24,'JFS',V-Guard Finesta Remote 400mm Pedestal Fan (Yellow Black),1.625,4.1000000000000005,4.1000000000000005,4.1000000000000005,3.0136509810453376
25,(Gadgets2use),BT-Receiver Car Wireless Bluetooth Receiver Adapter 3.5Mm Aux Audio Stereo Music Home Hands Free Car Kit Device,1.75,4.0200000000000005,3.6,2.675,2.294266413413547
26,(Gadgets2use),Generic 3.5mm Clip On Mini Lapel Lavalier Microphone (Black),3.4705882352941178,4.324705882352941,3.4200000000000004,4.0335294117647065,3.452503702712578
27,(Gadgets2use),"K3 PUBG Mobile Game Controller, Gamers Yard 1 Pair Sensitive Game Triggers for PUBG/Knives Out/Rules of Survival L1R1 Game Joysticks Gamepad for Android iOS Phones Transparent (Metal)",4.25,4.5875,2.7000000000000006,4.5875,3.7947570006417237
28,(Gadgets2use),Taravision Bluetooth Stereo Adapter Audio Receiver,3.4,4.196666666666666,3.5800000000000005,3.4899999999999998,3.2142000745581973
29,(Gadgets2use),USB Bluetooth Audio Receiver 3.5mm Music Adapter Dongle Speakers Car Mp3 Etc,3.1999999999999997,4.276666666666666,3.56,3.3799999999999994,3.136252952186619
30,(SPORTO FITNESS™)*,"IRON LIFE FITNESS 30 Kg Weight Plates, 5Ft Rod, 3Ft Rod, 2 D.Rods Home Gym Dumbell Set",2.5714285714285716,4.314285714285714,4.0,3.2857142857142856,3.0623405889070536
31,(SPORTO FITNESS™)*,Konex Hand Gripper-Best Hand Exerciser Grip Strengthener Adjustable 10 Kg To 40 Kg (Color May Vary),3.1999999999999997,4.08,3.78,3.4900000000000007,3.164864050348447
32,(SPORTO FITNESS™)*,SPORTO FITNESS 5 FEET STRAIGHT BAR FOR BICEPS & BENCH PRESS EXERCISES WITH 2 LOCKS,3.5,4.257142857142857,3.8999999999999995,3.7,3.4627610585857456
33,(SPORTO FITNESS™)*,"SPORTO FITNESS™ Hand Gripper - Exerciser Strengthener Hand Exerciser Resistance 10Kg to 40Kg for Gym,Strong Wrist, Finger, Forearms",2.666666666666667,3.8785714285714286,3.75,3.208333333333333,2.7834580625422807
34,*Marketing Online,Funskool-Play & Learn India Map Puzzles,4.0,4.4799999999999995,3.7,3.85,3.7144921433219715
35,-TOS-,In tel Core 2 Duo E8500 Dual-Core Processor 3.16 GHz 6M L2 Cache 1333MHz FSB LGA775 - Tray OEM,2.857142857142857,4.3428571428571425,3.7999999999999994,4.3428571428571425,3.5119800779171113
36,-TOS-,PCS SYSTEM - Battery Airtel E5573s Battery for Airtel Huawei 4G Hotspot,3.0,4.64,4.3999999999999995,4.64,4.008398858724684
37,.DFO INDIA LLP,Ozoy Zofey Business Anti-Theft Fabric Water Resistant USB Charging Port Black Laptop Backpack,4.0,4.414285714285714,3.6333333333333333,3.8166666666666664,3.6496472334079617
38,.DFO INDIA LLP,REWYOzoy Zofey Business Anti-Theft Fabric Water Resistant USB Charging Port Black Laptop Backpack,3.0,4.319047619047619,4.033333333333333,3.5166666666666666,3.3032987776066767
39,1 Stop Shop,"Cosco Milano Foot Ball, Size 5 (White/Blue/Black)",3.857142857142857,4.114285714285714,3.628571428571429,3.7428571428571433,3.4389235831962113
40,1 Stop Shop,Pilot V7 Liquid Ink Roller Ball Pen (1 Blue + 1 Black + 1 Red),3.0,4.3999999999999995,4.2,4.3999999999999995,3.7400521516740306
41,1 Stop Shop,"Vicky Tennis Cricket Ball, Pack of 6 (Yellow)",4.8,4.8,3.8000000000000003,4.3,4.323799762614093
42,1 Stop Shop,Whitelily Magnetic Duster For Erasing Marker Or Chalk Writing No Marker Provided,3.2666666666666666,4.263333333333334,3.846666666666667,3.978888888888889,3.481499820146034
43,1 Stop Shoppee,"JY SUPER LED Torch Rechargeable Super Torch 8990,Black",3.0,4.3,3.585714285714286,3.292857142857143,3.0571676796443015
44,121 IT SOLUTIONS,Terabyte HDMI to VGA Converter Adapter Cable (Black),2.67816091954023,3.997701149425287,3.6045977011494252,3.6068965517241374,2.947165454826599
45,1699 sikh store,Junos LED Balloons Pack of 25,3.8000000000000003,4.6866666666666665,4.22,4.010000000000001,3.9799552840458547
46,1DEEP ENTERPRISES,"Epson Original Refill Ink for Epson T664 for L100,L200,L220,L300,L310,L350,L450,L550 Multicolors Ink Pack of 4",3.6666666666666665,4.766666666666667,3.433333333333333,3.5499999999999994,3.529466212331479
47,1st baby store,Himalaya Gentle Baby Wipes (72Napkins of 2 Packs),3.5,4.365,4.225,3.8625,3.683619132017414
48,1st baby store,"Himalaya Moisturising Aloe Vera Facial Wipes, 25 Count (Pack Of 2)",2.6923076923076925,4.32912087912088,3.9076923076923076,3.3,3.082364995168148
49,1st baby store,"Himalaya Purifying Neem Facial Wipes, 25 Count (Pack Of 2)",2.4,4.64,4.3999999999999995,4.64,3.815815595224633
