,Seller,FeedBack_Rating,Courier_Rating,Product_Rating,Packaging_Rating,ALL_OVER
0,"""SHOP 24""",3.557909604519774,4.361299435028249,3.7528248587570645,4.2223163841807905,3.695107000564127
1,# Global Hub,3.602212389380531,4.622212389380532,3.9116666666666666,4.411806784660768,3.9537820511758004
2,#GAME TECH,2.8,3.28,1.6999999999999997,3.28,1.9126381267181283
3,'JFS',2.1855072463768117,4.200869565217389,4.048212560386471,4.067584541062799,3.219924979006911
4,(Gadgets2use),3.5069999999999997,4.357200000000001,3.2436000000000007,3.9313,3.3944672795166158
5,(SPORTO FITNESS™)*,2.9765432098765436,4.134444444444444,3.86037037037037,3.4184567901234564,3.130351008358228
6,*Marketing Online,4.0,4.4799999999999995,3.7,3.85,3.729311721886281
7,-TOS-,2.9166666666666665,4.466666666666667,4.05,4.466666666666667,3.7303256347459817
8,.DFO INDIA LLP,3.5,4.366666666666666,3.833333333333333,3.6666666666666665,3.490794394888333
9,1 Stop Shop,3.5538461538461545,4.347179487179488,3.872820512820515,4.072307692307693,3.6693881100666768
10,1 Stop Shoppee,3.0,4.3,3.585714285714286,3.292857142857143,3.0726680432549243
11,121 IT SOLUTIONS,2.67816091954023,3.997701149425287,3.6045977011494252,3.6068965517241374,2.9601163924976315
12,1699 sikh store,3.8000000000000003,4.6866666666666665,4.22,4.010000000000001,3.9939235589669053
13,1DEEP ENTERPRISES,3.6666666666666665,4.766666666666667,3.433333333333333,3.5499999999999994,3.5469646101047974
14,1st baby store,3.1521239954075773,4.511060084194412,4.1830750095675455,3.852674129353233,3.632951360753769
15,24*7ATYOURSERVICE,2.6011904761904767,4.140357142857143,3.8224999999999993,3.526130952380953,3.0413933180829353
16,24SEVENINDIA,2.75,4.526666666666666,4.233333333333333,3.4916666666666663,3.387838821524921
17,24X7 SHOPPING ONLINE,3.780208333333333,4.458333333333335,3.7213541666666665,3.75078125,3.6175793583455595
18,24X7 SHOPPING STORE,3.7028985507246377,4.72608695652174,3.8217391304347834,4.318840579710145,3.9672275605100804
19,24x7 Shopping,3.5933333333333333,4.593999999999999,3.574,4.3196666666666665,3.78989291468465
20,24x7onlinemart,1.5714285714285714,4.014285714285714,3.814285714285714,2.6928571428571426,2.328144056191687
21,264,2.5933333333333333,4.097333333333332,3.659555555555557,4.007777777777777,3.151388907381755
22,3DCloud,2.8000000000000003,4.207272727272727,3.7345454545454544,3.9309090909090902,3.2628776986403074
23,3HourDelivery,3.3087121212121215,4.458068181818182,3.8289772727272733,3.5688446969696965,3.43139099946721
24,4 U Marketing,3.9565217391304346,4.660869565217391,3.6565217391304343,4.46304347826087,4.0199184100450385
25,40km,3.75,4.59,3.6,3.675,3.5976994432065688
26,4COM Technologies,3.3484848484848486,4.553030303030304,4.037878787878788,4.111363636363635,3.7667422113302136
27,4V international,2.913030303030303,3.7490151515151515,3.0115606060606064,3.4950227272727257,2.6819484833473943
28,4gTech,3.3333333333333335,4.633333333333334,3.9,4.633333333333334,3.9541980559451844
29,724 Shopping,2.5136612021857925,4.336502732240437,4.059453551912568,3.9668852459016386,3.351622658855321
30,99 INSTRUMENTS,2.5238095238095237,4.414285714285715,3.9952380952380957,3.9738095238095235,3.3713701095437405
31,@ BuyBox,3.3333333333333335,4.2,3.600000000000001,4.2,3.4902721088697084
32,A & G Mart,2.833333333333333,3.985714285714286,3.6000000000000005,3.2166666666666663,2.8520611957832758
33,A 1 SELLER,3.25,4.24,3.9,3.575,3.3398381360607488
34,A B MUSICAL STORES & ACCESSORIES,3.9404761904761902,4.663690476190476,4.051130952380954,4.440446428571428,4.138896623371409
35,A D Overseas,2.833333333333333,4.166666666666666,3.7666666666666666,3.3,3.021824638106094
36,A ONE ELECTRICAL AND HARDWEAYR,3.7499999999999996,4.3273809523809526,3.7666666666666666,3.7583333333333333,3.566603633498088
37,A R IMPEX,3.1999999999999997,4.1499999999999995,3.5,3.35,3.06256062483163
38,A R O H I,2.7358024691358027,4.217901234567901,3.8497530864197524,3.2927777777777787,3.0385868044816973
