,Seller,0
0,"""SHOP 24""",1
1,# Global Hub,6
2,'JFS',1
3,(Gadgets2use),3
4,(SPORTO FITNESS™)*,2
5,*Marketing Online,1
6,.DFO INDIA LLP,1
7,1 Stop Shop,3
8,1 Stop Shoppee,1
9,121 IT SOLUTIONS,1
10,1699 sikh store,1
11,1DEEP ENTERPRISES,1
12,1st baby store,4
13,24*7ATYOURSERVICE,2
14,24SEVENINDIA,1
15,24X7 SHOPPING ONLINE,4
16,24X7 SHOPPING STORE,1
17,24x7 Shopping,1
18,24x7onlinemart,1
19,264,2
20,3DCloud,1
21,3HourDelivery,2
22,4 U Marketing,1
23,40km,1
24,4COM Technologies,1
25,4V international,3
26,724 Shopping,3
27,99 INSTRUMENTS,1
28,A & G Mart,1
29,A 1 SELLER,1
30,A B MUSICAL STORES & ACCESSORIES,2
31,A D Overseas,1
32,A ONE ELECTRICAL AND HARDWEAYR,2
33,A R IMPEX,1
34,A R O H I,4
35,A S B Trader,1
36,A S COLLECTION INDIA,1
37,A T G T,1
38,A TO Z IT,1
39,A V TRADERS,1
40,A and D TRADERS,1
41,A and K Enterprise,1
42,A to Z sales corporation original product,1
43,A&Y INTERNATIONAL,4
44,A- One Electronics,1
45,A-One Enterprises,1
46,A-Sky Retails,2
47,A-Z Retail,1
48,A..S,1
49,A.C.P Traders,3
50,A.E.I.M CORP,1
51,A.J.M.,1
52,A.K. Enterprises Pvt Ltd,1
53,A.T.P,2
54,A1Price A1Products,6
55,A2Z COLLECTIONS,2
56,A2Z E-Sales,1
57,A2Z Retail,1
58,A2Z Sellers,2
59,A2Z Trade,1
60,A2Z Ventures,1
61,A2Z-DEALS,1
62,A2ZSELLERS,3
63,A2ZTraders,1
64,A4 TECHNOLOGY,2
65,AAAGIFTCARE,1
66,AADHISHA,1
67,AALOK,1
68,AANCHAL INTERNATIONAL - Genxtra®,3
69,AAR VEE ENT,1
70,AARAV EMART,2
71,AARMANZA,1
72,AAccessories,1
73,AB INfotech,1
74,AB TRADES,1
75,ABC The Business People,1
76,ABHITH INDIA,1
77,ABID SHARIQ ENTERPRISES,1
78,ABS Attache and Bags Store,1
79,ABS-Tradelink,1
80,ABSHA ENTERPRISES,1
81,AC Collections,1
82,AC Trading Company,1
83,ACORNSPORT,1
84,ACROMEC™,3
85,ADARSH COMPUTERS,2
86,ADISA International,1
87,ADPP OLM,1
88,AEI Shop,1
89,AGARWAL SECURITY SYSTEMS,1
90,AHPL,1
91,AIIPL_BLR,8
92,AIR EXPERT INDIA,1
93,AIRMAKER Foot Pump®,1
94,AJ CREATION,1
95,AJ traders K69,3
96,AK.Enterprises0612,1
97,AKHIL MARKETING VIZAG,1
98,AL Noone Star,1
99,ALFA Retail Corp,4
100,ALKA SHOPING,1
101,ALLIFBAY,1
102,AM Leather,1
103,AM-STORE,1
104,AMARDEEP CYCLES,4
105,AMAZINGDEALS4EVER,1
106,AMBER ELECTRIC & ELECTRONICS,1
107,AMG Digital Store,1
108,AMJ TRADERS,1
109,ANAM INFOTECH PVT,1
110,AND Retails,3
111,ANE | Absolute Native Electronics | Solnoi,1
112,ANITA ELECTRICALS,2
113,ANMOL ART & FRAMES,1
114,ANWAR SPORTS,1
115,AONECREATIONS,1
116,AOW ATTRACTIVE OFFER WORLD,1
117,AOne Deals,2
118,APEIRON TECH WORLD,1
119,APG_ONLINE_2015,1
120,APPLIANCE STORE,1
121,AQUA SALEs,4
122,AQube Retail,1
123,AR Enterprises Bhopal,1
124,AR sellers,2
125,ARNAV FASHIONS,1
126,ARORA BROTHERS,1
127,ARRAY.,1
128,ARUN  TRADERS,1
129,AS Retails (Happie Shop®),1
130,ASHTAR ENTERPRISES,1
131,AST Japan,2
132,ASTHA ELECTRONICS SYSTEMS,1
133,ASTROPOINT,1
134,ATC CONNECT,1
135,ATELIER WORLD,2
136,ATIPL-DEL,1
137,ATZ Retail,1
138,AUDIO VOICE INDIA PRIVATE LIMITED,1
139,AUDIOVIDEO,1
140,AUGUST LUSH,1
141,AURODO,1
142,AURORA.,1
143,AUXTER,1
144,AV INFOLINE,2
145,AV Soft,1
146,AVS RETAIL,3
147,AXELNET,1
148,Aadira Collections,1
149,Aadishwar Creations,1
150,Aadvay,1
151,Aaina Enterprises,3
152,Aarav Co.™ (Car & Bike Care),1
153,Aarav Common Services Center & Mobiles,1
154,Aash Multisales Corporations,3
155,Abcomp,1
156,Abhishek computer,1
157,Absolute India,1
158,Absolute e Solutions,1
159,AcWalla,1
160,Accord Exports Co.,3
161,Achara online,1
162,Acharya Ayurveda,1
163,Acme Mart,1
164,Acupressure Shop,1
165,Add To Basket,2
166,Adhriti Educational Books,1
167,Adhyuth Enterprises,1
168,Aditya Instruments,1
169,Aditya Overseas™,1
170,Aditya Sports,2
171,Adofys India-(Customer Happiness Is Top Priority),1
172,Adolf Me®,4
173,Advance Projector Inc,1
174,Advent Basics _,1
175,Adventuregears,1
176,Advind Healthcare,1
177,Aerizo  -  Dronean,1
178,Agarwal Electricals India,1
179,Agarwal Sports Industries,1
180,Agarwal Traders IN,1
181,Agarwal_,1
182,Agway International,2
183,AhmedabadCotton,1
184,Aim Square,4
185,Air Show,1
186,Aishvi Enterprises,1
187,Aj Tech Solution,1
188,Akash Electronicss,1
189,Akash Enterprisess,1
190,Akshat Sales Corporation,1
191,Akshat Sports,2
192,Akshay Retail,1
193,AlexVyan_Brothers,6
194,Alexa India,3
195,Aliasha Kreation,1
196,Alihisen Akbarali Rangwala,1
197,All Gifts,2
198,AllaboutElectronics,2
199,Alpas Consultancy Pvt Ltd,1
200,Alpha Collections,1
201,Alpine Canyon (USA),2
202,AmPmStore,1
203,Amage india,1
204,Amar Chauhan Group,1
205,AmazHub,1
206,Amazers Choice,2
207,Amazin Pet Shop,1
208,Amazing Dreams,3
209,Amazing Ezra,1
210,AmazingBags,1
211,AmazingShop,1
212,Ambey steel emporium,1
213,Ambika Gems and Diamond,3
214,Amigo Store,1
215,Amigos Station,1
216,AmigozZ,1
217,Amkette Shop,1
218,Amutham Music Private Limited,1
219,Amy Enterprise,1
220,Anand Parkash and Sons,1
221,Anandh hardware store,1
222,AnmolEnterprises,2
223,Antarixya Electronics,1
224,Anubha Retails,1
225,Aone Marketing,1
226,Apeiron Merchandise,1
227,Apex BLR,3
228,Apna Deal,6
229,Apni Dukan - Best Deals Forever,1
230,Apnidhukan,1
231,Appario Retail Private Ltd,85
232,Appliances Mart,1
233,Apptronics Retail,1
234,AprilIndustries,1
235,AquaDunia Enterprises,4
236,AquaNature,1
237,Aradhya Computer,1
238,Aradhya Home's,1
239,Arashi Futures Private Ltd,1
240,Arham Industries,1
241,Arham World,2
242,Arigato.,1
243,Arihant kitchenware,1
244,Arms Technology,2
245,Arnav Tradings,2
246,Arpit MKT,2
247,Art N Hub,1
248,Arti Infotech System,1
249,AruTrade,3
250,Arx,2
251,Arzet®,3
252,Ascension Enterprises LLP,2
253,AshaEnterprises1991,1
254,Ashapura electricals.,1
255,Ashoka Fish Aquarium,1
256,Ashtavakra Agencies,1
257,Asian Agencies,2
258,Asian Aura,1
259,AsianHobbyCrafts LLP,3
260,AspenLeather,1
261,Asquare Enterprise,1
262,Aster Commerce,1
263,Asteroid India,1
264,AuTo   MoTo,2
265,AudiIN,1
266,Aum Entertainment,6
267,Authorised Deals,1
268,Auto Ryde,2
269,Autodrome,1
270,Autofurnish India,5
271,Autofy Store,1
272,Automart,1
273,Autorepute,1
274,Avenue Overseas Private Limited,2
275,Avi enterprises11,1
276,Avni Enterprises,1
277,Avni Traders,1
278,Avon Lifestyle pvt ltd,1
279,Axelleindia,1
280,Axiom store,1
281,Axtry™,1
282,Ayush Enterprises Online,1
283,Ayushman Sales and Company,1
284,B J INFOTECH(A unit of AIPL),1
285,B L RUBBER INDUSTRIES PVT LTD,1
286,B Online Store,4
287,B.K Retail,2
288,B.P. Trading Company,1
289,BABA FARID RETAILS,2
290,BABY CROWD,1
