,Brand,0
0,3M,2
1,A & T,1
2,A C SPORTS,1
3,A'la Mode Creation,1
4,AADHISHA,1
5,ABS AUTO TREND,1
6,ABYS,1
7,ADISA,2
8,AL FASCINO,2
9,AM LEATHER,2
10,AMAZING HEALTH SOLUTION,1
11,AMERICAN MICRONIC,1
12,AMG Digital,1
13,AO Smith,2
14,APACS,1
15,APPUCOCO,1
16,ART N HUB,1
17,ASE YOGA INDIA,1
18,ASTEROID,1
19,ASkyl,1
20,ATC PREMIUM,1
21,AURION,14
22,AUXTER,3
23,AVM,1
24,AVS STORE,2
25,AVS STORE®,1
26,Aai,1
27,Aamir Khan,2
28,Accezory,4
29,Acer,3
30,Acorn,1
31,Activa,2
32,Advind Healthcare,1
33,Aftab,2
34,Ahmedabad Cotton,4
35,Airmaker,1
36,Ajay Devgan,1
37,Akshay Kumar,3
38,Alden Ehrenreich,1
39,Alexvyan,2
40,Alfisha,1
41,Alia Bhatt,1
42,Alice,2
43,Allin Exporters,3
44,Allxpert,1
45,Amazon,3
46,AmazonBasics,34
47,Ambi Pur,1
48,Ambrane,1
49,American Tourister,32
50,Amitabh Bachchan,5
51,Amitabh Bachhan,1
52,Amjad Ali Khan,1
53,Amkette,2
54,Amy Poehler,1
55,Angelina Jolie,1
56,Anker,1
57,Ant Audio,1
58,Antony Starr,1
59,Apple,1
60,Apsara,1
61,AraNxt,1
62,Aristocrat,8
63,Arlo Technologies,1
64,Aruna Sairam,1
65,Asitis Nutrition,1
66,Assembled Desktop,1
67,Asus,4
68,Aurodo,1
69,Authtentic,1
70,AutoTrends,1
71,Autofurnish,1
72,Autofy,3
73,Autopearl,1
74,Autosol,1
75,Autosun,1
76,Autowizard,1
77,Aveeno,1
78,Ayushmann Khurrana,2
79,BEE,1
80,BIPM,1
81,BODYGRIP,1
82,BOGESI,2
83,BPL,2
84,BRANDONN,3
85,Baby Bucket,2
86,Baby Dove,1
87,BabyGo,2
88,Backpack,1
89,BagsRUs,1
90,Baijnath Premnath,1
91,Bajaj,11
92,Bandai,1
93,Batman,1
94,Behringer,1
95,Belkin,1
96,BenQ,1
97,Better & Brighter Homecare,2
98,Bey Bee,2
99,Bhimsen Joshi,1
100,Bianyo,1
101,Bigsavings,1
102,Bikestuff,1
103,Biotique,1
104,BitDefender,2
105,Bizarre Vogue,1
106,Bk,1
107,Blackt Electrotech,1
108,Blossoms,1
109,Blue Star,1
110,BlueRigger,1
111,Bmax,1
112,Boat,27
113,Bobo,1
114,BodyBand,1
115,BodyFit,2
116,Bombay S.Jayashri,1
117,Borosil,3
118,Bose,2
119,Boya,3
120,Brother,5
121,Bufferman,1
122,Bulfyss,7
123,Burnlab,1
124,CABLEGALLERY,1
125,CAM 360,1
126,CAPTAIN AMERICA,1
127,CERO,2
128,CHANCY,1
129,CHAND SURAJ,2
130,CHEVIK GET ADDICTED,1
131,CHOOSTIX,5
132,CHRONEX,1
133,COSMUS,2
