,Brand,0
0,3M,16
1,A & T,3
2,A C SPORTS,4
3,A'la Mode Creation,3
4,AADHISHA,1
5,ABS AUTO TREND,2
6,ABYS,1
7,ADISA,1
8,AL FASCINO,2
9,AM LEATHER,1
10,AMAZING HEALTH SOLUTION,3
11,AMERICAN MICRONIC,1
12,AMG Digital,2
13,AO Smith,14
14,APACS,3
15,APPUCOCO,1
16,ART N HUB,3
17,ASE YOGA INDIA,1
18,ASTEROID,6
19,ASkyl,1
20,ATC PREMIUM,1
21,AURION,3
22,AUXTER,2
23,AVM,6
24,AVS STORE,1
25,AVS STORE®,1
26,Aai,7
27,Aamir Khan,7
28,Accezory,3
29,Acer,8
30,Acorn,2
31,Activa,1
32,Advind Healthcare,2
33,Aftab,2
34,Ahmedabad Cotton,5
35,Airmaker,1
36,Ajay Devgan,1
37,Akshay Kumar,9
38,Alden Ehrenreich,3
39,Alexvyan,1
40,Alfisha,1
41,Alia Bhatt,6
42,Alice,11
43,Allin Exporters,1
44,Allxpert,2
45,Amazon,2
46,AmazonBasics,1
47,Ambi Pur,5
48,Ambrane,5
49,American Tourister,19
50,Amitabh Bachchan,13
51,Amitabh Bachhan,4
52,Amjad Ali Khan,2
53,Amkette,4
54,Amy Poehler,4
55,Angelina Jolie,3
56,Anker,3
57,Ant Audio,2
58,Antony Starr,1
59,Apple,1
60,Apsara,9
61,AraNxt,3
62,Aristocrat,7
63,Arlo Technologies,1
64,Aruna Sairam,1
65,Asitis Nutrition,1
66,Assembled Desktop,5
67,Asus,27
68,Aurodo,1
69,Authtentic,5
70,AutoTrends,8
71,Autofurnish,2
72,Autofy,3
73,Autopearl,9
74,Autosol,6
75,Autosun,3
76,Autowizard,3
77,Aveeno,10
78,Ayushmann Khurrana,6
79,BEE,1
80,BIPM,9
81,BODYGRIP,1
82,BOGESI,4
83,BPL,1
84,BRANDONN,1
85,Baby Bucket,2
86,Baby Dove,4
87,BabyGo,2
88,Backpack,8
89,BagsRUs,2
90,Baijnath Premnath,1
91,Bajaj,43
92,Bandai,3
93,Batman,1
94,Behringer,10
95,Belkin,10
96,BenQ,6
97,Better & Brighter Homecare,1
98,Bey Bee,2
99,Bhimsen Joshi,1
100,Bianyo,5
101,Bigsavings,4
102,Bikestuff,8
103,Biotique,10
104,BitDefender,2
105,Bizarre Vogue,2
106,Bk,1
107,Blackt Electrotech,1
108,Blossoms,7
109,Blue Star,1
110,BlueRigger,3
111,Bmax,3
112,Boat,38
113,Bobo,1
114,BodyBand,1
115,BodyFit,1
116,Bombay S.Jayashri,1
117,Borosil,17
118,Bose,3
119,Boya,20
120,Brother,23
121,Bufferman,7
122,Bulfyss,1
123,Burnlab,1
124,CABLEGALLERY,2
125,CAM 360,1
126,CAPTAIN AMERICA,1
127,CERO,1
128,CHANCY,3
129,CHAND SURAJ,1
130,CHEVIK GET ADDICTED,1
131,CHOOSTIX,13
132,CHRONEX,1
133,COSMUS,1
134,CP Plus,21
135,CRUST,1
136,CVANU,2
137,CW,5
138,Callas,3
139,Camlin,12
140,Canon,52
141,Capcom,4
142,CarSaaz,9
143,Cardio Max,1
144,Carrier,2
145,Casa De Amor,1
146,Casio,8
147,Cello,46
148,Cetaphil,7
149,Chappi,6
150,"Charlize Theron, Vin Diesel Dwayne Johnson Luke Evans",2
151,Chicco,6
152,Choice homes,1
153,Chris & Kate,1
154,Chris Evans,2
155,Chris Hemsworth,1
156,Classmate,7
157,Cloth Fusion,1
158,CloudWalker,1
159,Clublaptop,3
160,CocoMoco Kids,1
161,Codemasters,2
162,Commlite,9
163,Contacts,1
164,Cooler Master,10
165,Corsair,23
166,Cosco,15
167,Cost2Cost1,2
168,Cpixen,1
169,Crazy Sutra,3
170,Creative's,5
171,Crompton,22
172,Cross,1
173,CrossBeats,1
174,Crucial,19
175,Curveit,1
176,D'Addario,15
177,D-Link,26
178,D3D,1
179,DAHSHA,1
180,DEHMAN,2
181,DEIN KLEIDER,1
182,DEVMA,3
183,DFS,6
184,DHAGAN,2
185,DIXON,1
186,DMC,3
187,DOCOSS,1
188,DRUMROAR,1
189,DSC,4
190,DZert,1
191,Dahua,5
192,Daikin,3
193,Dash,1
194,Datawind,1
195,Deal Especial,2
196,DealBindaas,2
197,Decathlon,9
198,Deep Silver,11
199,Dell,36
200,Delsey,1
201,DeoDap,4
202,Deziredeal,6
203,Die Hard,1
204,Dilip Kumar,1
205,Discount Retail,1
206,Disney,2
207,Divine Casa,2
208,Docooler,2
209,Dr Trust,3
210,Dr. CHARCOAL,1
211,Dr. Copper,2
212,Dronean,2
213,Drools,5
214,Drumstone,3
215,Duckback,3
216,Dussledorf,1
217,EASY BREATHER,2
218,EGate,1
219,ELLONIA,3
220,Eagle Eye Gadgets,2
221,Ealth Kart,1
222,EasyHealth,1
223,Ebee,11
224,Einstein Box,2
225,Electomania,1
226,Electronic Arts,1
227,ElectronicsArtGalleryEAG,4
228,Elements,1
229,Elevea,2
230,Embroco,1
231,Embroiderymaterial,3
232,Enraciner,1
233,Envent,1
234,Epson,18
235,Epson originals,6
236,Eureka Forbes,7
237,Eveready,11
238,Everycom,1
239,Ewan McGregor,1
240,EzLife,4
241,Ezee,4
242,F Gear,2
243,FASTPED,1
244,FD,3
245,FINICKY-WORLD,1
246,FIT PICK,1
247,FREDI HD PLUS,1
248,FREEMANS,9
249,FULLY,1
250,FUR JADEN,2
251,FUSION5,1
252,FabSeasons,2
253,Faber-Castell,14
254,Familykart India,1
255,Fansport,1
256,Farraige,1
257,Fashion World,1
258,Fastrack,1
259,Fendo,1
260,Fergal Reilly,1
261,Finer,1
262,Fisher-Price,9
263,Fitbit,7
264,Fitkit,6
265,Fitlethic,1
266,Fitster5,1
267,Fitsy,1
268,Flash,1
269,Flintstop,9
270,Flow,1
271,Foodie Puppies,1
272,Formula 1,8
273,Foscam,8
274,Frantic,1
275,FunKo,10
276,Funskool,11
277,Funskool-Asmodee,8
278,Fur Jaden,2
279,Futurekart,10
280,GADGETS WRAP,1
281,GANDIVA,4
282,GIZGA essentials,3
283,GJ,5
284,GLEAM,1
285,GLUN,6
286,GM,6
287,GOCART WITH G LOGO,1
288,GODS,1
289,GREAT MASTER,3
290,GTC,2
291,GYRONAX,1
292,GZQNAN,1
293,Gadget Hero's,1
294,Gadget-Wagon,3
295,Gajraj,1
296,Gala,1
297,Game of Thrones,1
298,Ganesh,9
299,Garmin,1
300,Gear,3
301,Generic,217
302,Generic (unbranded),16
303,Generic Unbranded,9
304,Genius Box - Play some Learning,1
305,Genric,18
306,Getko,1
307,Gigabyte,10
308,GoTrippin,1
309,God Gift,10
310,Godrej,17
311,Godrej aer,5
312,Goldmedal,6
313,Goodness,1
314,Gorilla,4
315,Greeneye Technology,1
316,Grobag,2
317,HARD KNIT,9
318,HASHTAG FITNESS,1
319,HIDE & SKIN,1
320,HM Digital,1
321,HOIN,1
322,HOKIPO,1
323,HOLME'S,1
324,HOME CUBE,1
325,HORNBULL,1
326,HP,51
327,HTC,3
328,HTC Instrument,9
329,HUILE,8
330,Haier,1
331,Halo Innovations,5
332,Halonix,6
333,Happile,2
334,Harikrishnavilla,10
335,Hariprasad Chaurasia,5
336,Havells,11
337,Hawkins,9
338,Head & Shoulders,8
339,Heads Up For Tails,1
340,Healthex,3
341,Healthgenie,3
342,Hikvision,12
343,Himalaya,40
344,Hipkoo,2
345,Home Bargain,1
346,Home Pictures,1
347,Home Spa,3
348,Homefab India,3
349,Honeywell,8
350,House of Marley,4
351,House of Quirk,1
352,Huawei,2
353,Huggies,15
354,Hush Plug,1
355,Hynix,13
356,I Craft for Less,6
357,IBIZA,2
358,IFITech,2
359,IKALL,4
360,ILARTE,1
361,INDISWAN,1
362,INLANDER,1
363,INOVERA (LABEL),2
364,IRIS,6
365,ISEE 360,1
366,IShake,2
367,Immunity booster,3
368,Impulse,2
369,In tel,5
370,Inalsa,10
371,India,2
372,Indian Riders,2
373,Indian Stallion,4
