,MultiLink,0
0,Air Conditioners,13
1,All Computers & Accessories,56
2,All English,5
3,All Exercise & Fitness,39
4,All Hindi,27
5,"Baby Bath, Skin & Grooming",89
6,Baby Fashion,35
7,Backpacks,61
8,Badminton,63
9,Bags & Luggage,3
10,Bedroom Linen,52
11,Blu-ray,9
12,Camping & Hiking,48
13,Car & Bike Care,25
14,Car Accessories,79
15,Car Electronics,116
16,Car Parts,16
17,Cardio Equipment,26
18,Certified Refurbished,6
19,Clothing,9
20,Components,168
21,Computer Accessories,148
22,Cricket,71
23,Cycling,71
24,DSLR Cameras,43
25,Desktops,36
26,Diapers,77
27,Dog supplies,64
28,Drives & Storage,25
29,Entertainment Collectibles,3
30,Fitness Accessories,64
31,Football,58
32,Gaming Consoles,29
33,Headphones,64
34,Heating & Cooling Appliances,148
35,Home Audio & Theater,23
36,Home Entertainment Systems,103
37,Home Improvement,9
38,Indian Classical,12
39,Indoor Lighting,110
40,International Toy Store,63
41,Janitorial & Sanitation Supplies,77
42,Kids' Watches,19
43,Kitchen & Dining,83
44,Kitchen & Home Appliances,77
45,Kitchen Storage & Containers,157
46,Lab & Scientific,85
47,Laptops,47
48,Latest Video Games,21
49,Monitors,12
50,Motorbike Accessories & Parts,64
51,Musical Instruments & Professional Audio,143
52,Networking Devices,87
53,Nursing & Feeding,25
54,Office Supplies & Stationery,138
55,Printers & Ink,73
56,Refrigerators,4
57,Rucksacks,70
58,STEM Toys Store,21
59,School Bags,89
60,Security Cameras,81
61,Sewing & Craft Supplies,33
62,Smart Home,55
63,Software,42
64,Speakers,93
65,Sports Collectibles,2
66,Strength Training,24
67,Strollers & Prams,42
68,Suitcases & Trolley Bags,32
69,Tablets,32
70,Televisions,16
71,"Test, Measure & Inspect",30
72,The Designer Boutique,1
73,Toys Gifting Store,38
74,Travel Accessories,91
75,Travel Duffles,24
76,Video Games Deals,11
77,Wallets,84
78,Washing Machines,4
79,Yoga,47
