,Product,0
0,""" ROCKY "" 60 Lt Grey Rucksack I Hiking backpack",2
1,""" ROCKY "" 60 Lt Royal Rucksack I Hiking backpack",1
2,"""HERO"" 32 Lt Pink Brown Casual Backpack I bagpack",1
3,"""HERO"" 32 Lt Sky & Navy Casual Backpack I bagpack",1
4,"""TREK 44 Lt Blue grey Rucksack I Hiking backpack",2
5,"'s Men's Leather Black Wallet (PN- WL1 BLK2,Black)",4
6,(CERTIFIED REFURBISHED) Bajaj Bravo Dlx 500-Watt Mixer Grinder (White/BLUE),1
7,"(CERTIFIED REFURBISHED) Hawkins Inducion Based Futura Hard Anodised Cooker, 5 Litres, Black",1
8,(CERTIFIED REFURBISHED) KENT Personal Rice Cooker 0.9-Litres 180-Watt (Black and Silver),1
9,(CERTIFIED REFURBISHED) Maharaja Whiteline Gala JX-117 450-Watt Juicer Mixer Grinder with 2 Jars (White/Majestic Maroon),1
10,"(CERTIFIED REFURBISHED) Milton Thermosteel Plain Lid Flask, 500ml, Sleelplain",1
11,(CERTIFIED REFURBISHED) Orient Electric Aero Series 1200mm Ceiling Fan (White),1
12,(CERTIFIED REFURBISHED) Orient Electric Bladeless Fan with Remote (40 Watts),1
13,(CERTIFIED REFURBISHED) Panasonic SR-W18GH 270-Watt Automatic Cooker Warmer Combo Gift Pack (Gold),1
14,"(CERTIFIED REFURBISHED) Philips Airfryer HD9240/90 Large Capacity with Digital Display, 1.2Kg",1
15,(CERTIFIED REFURBISHED) Philips Amaze HL7575/00 600-Watt Juicer Mixer Grinder with 2 Jars (Celestial Blue/Bright White),1
16,(CERTIFIED REFURBISHED) Philips Daily Collection HD2582/00 830-Watt 2-Slice Pop-up Toaster (White),1
17,(CERTIFIED REFURBISHED) Philips GC181 Heavy Weight 1000-Watt Dry Iron (Black),1
18,(CERTIFIED REFURBISHED) Philips GC330 1000-Watt Handheld Garment Steamer (Red),1
19,"(CERTIFIED REFURBISHED) Philips Viva Collection Masticating juicer HR1887/81 XL tube, 70 mm Quick clean",1
